Pressure_Rel,GyroX_Rel,GyroY_Rel,GyroZ_Rel,AccX_Rel,AccY_Rel,AccZ_Rel,Timestamp,Pressure_abs,HeartRate,Oxygen,Status,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8810,10035.90,0,0,0,2.66,0.63,-2.59,-0.86,0.48,-0.33

0.0,0.0,0.0,0.0,0.0,0.0,0.0,8862,10035.40,0,0,0,-3.64,-9.10,10.57,-0.87,0.40,-0.30

0.0,0.0,0.0,0.0,0.0,0.0,0.0,8908,10035.70,0,0,0,4.13,-2.38,-6.58,-0.87,0.45,-0.34

0.0,0.0,0.0,0.0,0.0,0.0,0.0,8959,10035.70,0,0,0,-0.07,-3.99,4.90,-0.86,0.40,-0.29

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9012,10035.00,0,0,0,1.89,-1.33,-10.50,-0.88,0.42,-0.33

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9058,10035.50,0,0,0,0.14,2.24,7.07,-0.87,0.43,-0.29

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9110,10035.70,0,0,0,1.89,-2.17,-6.23,-0.87,0.44,-0.32

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9162,10035.70,0,0,0,-1.61,-1.33,2.80,-0.88,0.41,-0.32

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9208,10035.70,0,0,0,2.52,-2.52,-3.85,-0.88,0.44,-0.32

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9260,10035.70,0,0,0,-1.68,-3.29,4.41,-0.87,0.42,-0.32

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9305,10036.10,0,0,0,-5.88,-8.33,5.18,-0.90,0.46,-0.33

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9357,10035.90,0,0,0,0.70,-0.63,5.46,-0.87,0.41,-0.29

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9402,10035.90,0,0,0,-1.82,-4.69,10.71,-0.91,0.48,-0.33

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9455,10035.70,0,0,0,-10.22,-11.90,10.50,-0.98,0.50,-0.34

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500,10035.80,0,0,0,-11.34,-7.70,18.62,-1.00,0.48,-0.41

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9553,10036.10,0,0,0,-10.08,17.01,26.32,-0.99,0.62,-0.39

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9597,10036.10,0,0,0,-2.03,19.39,38.99,-0.93,0.58,-0.34

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9649,10035.90,0,0,0,21.28,36.96,31.08,-0.83,0.52,-0.37

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9702,10035.90,0,0,0,-7.63,17.71,34.65,-0.73,0.46,-0.47

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9747,10035.80,0,0,0,-5.39,62.44,43.61,-0.61,0.47,-0.47

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9799,10036.10,0,0,0,-31.99,52.50,-32.20,-0.78,0.02,-0.29

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9845,10036.10,0,0,0,4.76,19.60,-11.69,-0.92,0.91,-0.40

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9897,10036.10,0,0,0,-2.10,-36.47,-21.63,-1.17,0.52,-0.27

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9950,10035.90,0,0,0,39.41,-79.10,-77.63,-1.00,1.13,-0.54

0.0,0.0,0.0,0.0,0.0,0.0,0.0,9994,10035.70,0,0,0,42.07,-42.98,114.24,-1.02,0.92,-0.37

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10047,10036.10,0,0,0,17.78,-66.08,30.17,-0.75,0.05,-0.23

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10092,10036.00,0,0,0,46.97,-62.44,22.75,-0.92,0.77,-0.38

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10145,10035.50,0,0,0,107.94,5.95,-24.57,-0.93,0.70,-0.51

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10190,10035.70,0,0,0,17.92,-62.09,72.73,-0.87,0.39,-0.06

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10243,10035.60,0,0,0,91.35,-126.63,55.65,-0.56,0.36,0.11

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10295,10035.60,0,0,0,56.00,-239.75,50.89,-0.60,0.23,-0.02

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10339,10035.50,0,0,0,48.02,-391.23,-43.47,-1.01,-0.05,0.06

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10393,10035.50,0,0,0,-240.45,-462.28,-137.41,-1.36,0.25,-2.58

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10438,10035.60,0,0,0,103.53,443.24,-63.91,-1.17,0.31,-0.13

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10490,10035.40,0,0,0,21.98,11.48,-12.74,-0.87,0.47,1.54

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10534,10035.60,0,0,0,-50.19,-327.11,27.16,-1.46,0.42,0.14

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10588,10035.20,0,0,0,111.86,81.83,50.40,-1.10,0.63,-0.96

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10640,10035.90,0,0,0,12.53,97.23,-52.99,-0.97,0.06,0.48

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10684,10035.50,0,0,0,-2.66,-33.18,-32.83,-0.94,0.59,0.04

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10738,10036.30,0,0,0,10.08,-4.34,-13.23,-1.01,0.24,-0.05

0.0,0.0,0.0,0.0,0.0,0.0,0.0,10783,10036.20,0,0,0,-22.96,16.31,-12.18,-0.91,0.52,-0.09

