Pressure_Rel,GyroX_Rel,GyroY_Rel,GyroZ_Rel,AccX_Rel,AccY_Rel,AccZ_Rel,Timestamp,Pressure_abs,HeartRate,Oxygen,Status,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6099,10150.90,0,0,0,-25.34,-13.09,18.97,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6112,10151.90,0,0,0,-157.01,-112.77,13.86,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123,10151.90,0,0,165,5.95,-2.10,0.84,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6135,10151.90,0,0,0,0.42,-3.50,0.21,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6150,10151.90,0,0,165,0.49,-3.36,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6158,10151.90,0,0,0,0.49,-3.22,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6172,10150.90,0,0,165,0.56,-3.08,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6191,10150.90,0,0,0,0.56,-2.87,0.00,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6195,10150.90,0,0,165,0.56,-2.94,-0.07,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6210,10150.90,0,0,0,0.35,-2.87,17.85,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6225,10151.90,0,0,165,0.28,-3.01,0.00,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6233,10150.90,0,0,0,0.07,-2.94,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6247,10152.90,0,0,165,0.14,-3.08,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6263,10152.20,0,0,0,0.21,-3.01,-0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6270,10151.20,0,0,165,0.42,-2.73,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6284,10151.90,0,0,0,0.42,-2.73,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6299,10152.20,0,0,165,0.42,-2.73,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6307,10151.20,0,0,0,0.56,-2.80,0.07,-0.11,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6323,10152.20,0,0,165,0.63,-2.87,0.07,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6338,10152.20,0,0,0,0.42,-3.01,0.07,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6344,10150.90,0,0,165,0.35,-3.22,0.07,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6360,10150.90,0,0,0,0.35,-3.29,0.14,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6374,10150.90,0,0,165,0.35,-3.29,0.21,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6382,10150.90,0,0,0,0.35,-3.36,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6397,10151.20,0,0,165,0.42,-3.29,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6413,10151.20,0,0,0,0.42,-3.15,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6420,10150.90,0,0,165,0.56,-3.15,0.21,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6435,10152.20,0,0,0,0.56,-3.08,0.07,-0.10,1.00,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6450,10151.20,0,0,165,0.42,-3.08,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6458,10150.90,0,0,0,0.49,-3.01,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6474,10152.20,0,0,165,0.42,-3.08,0.07,-0.10,1.00,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6489,10150.90,0,0,0,0.49,-2.87,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6495,10151.20,0,0,165,0.35,-2.87,0.07,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6510,10151.20,0,0,0,0.28,-2.87,-0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6525,10152.20,0,0,165,0.21,-2.80,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6532,10152.20,0,0,0,0.21,-2.80,-0.07,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6548,10152.20,0,0,165,0.07,-2.80,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6562,10151.20,0,0,0,0.28,-2.73,-0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6570,10151.90,0,0,165,0.35,-2.73,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6585,10150.30,0,0,0,0.21,-2.73,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600,10151.20,0,0,165,0.35,-2.80,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6607,10151.20,0,0,0,0.21,-2.80,0.21,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6624,10152.20,0,0,165,0.49,-2.87,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6638,10151.20,0,0,0,0.56,-2.87,-0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6645,10152.20,0,0,165,0.42,-2.94,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6660,10151.20,0,0,0,0.35,-3.15,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6675,10151.90,0,0,165,0.63,-3.15,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6683,10152.20,0,0,0,0.35,-3.15,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6697,10152.20,0,0,165,0.49,-3.08,0.21,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6712,10151.20,0,0,0,0.42,-3.08,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6719,10151.20,0,0,165,0.56,-3.08,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6735,10152.20,0,0,0,0.49,-3.08,0.07,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6750,10151.20,0,0,165,0.42,-3.01,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6758,10152.20,0,0,0,0.42,-2.94,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6774,10151.20,0,0,165,0.35,-2.87,0.14,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6789,10152.20,0,0,0,0.28,-2.94,0.00,-0.09,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6795,10151.20,0,0,165,0.21,-2.94,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6810,10151.20,0,0,0,0.28,-2.87,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6825,10151.20,0,0,165,0.21,-2.80,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6832,10152.20,0,0,0,0.28,-2.80,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6848,10152.20,0,0,165,0.21,-2.80,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6863,10152.20,0,0,0,0.21,-2.80,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6870,10152.20,0,0,165,0.07,-2.80,-0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6885,10151.20,0,0,0,0.28,-2.59,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6900,10152.20,0,0,165,0.21,-2.52,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6908,10151.20,0,0,0,0.35,-2.59,0.00,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6923,10152.20,0,0,165,0.35,-2.45,0.21,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6939,10151.20,0,0,0,0.42,-2.59,0.14,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6946,10151.20,0,0,165,0.49,-2.45,0.07,-0.10,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6960,10152.20,0,0,0,1.47,-2.73,-0.42,-0.09,1.00,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,10152.20,0,0,165,-1.05,-2.87,-0.98,-0.11,0.99,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6982,10151.20,0,0,0,-0.70,-3.85,1.33,-0.10,0.97,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6998,10152.20,0,0,165,0.84,-2.73,0.00,-0.11,1.01,0.20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7012,10150.30,0,0,0,1.89,-2.31,0.28,-0.11,1.00,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7020,10152.20,0,0,165,1.05,-2.24,-0.49,-0.10,0.98,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7035,10151.60,0,0,0,0.07,-3.08,-0.21,-0.11,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7050,10152.20,0,0,165,-1.05,-3.22,1.12,-0.11,1.00,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7057,10151.20,0,0,0,17.64,-3.29,0.70,-0.10,0.99,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7073,10152.20,0,0,165,1.26,-3.50,-0.70,-0.11,1.00,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7087,10152.20,0,0,0,1.05,-3.57,0.07,-0.10,0.99,0.19
0.84472656,2.2360263E-4,7.764064E-4,0.0016211201,-0.1,0.99,0.19,11108,10152.60,0,0,165,0.42,-2.94,0.00,-0.10,0.99,0.19
-0.15527344,-7.7639706E-4,7.764064E-4,0.0016211201,-0.1,0.99,0.19,11130,10151.60,0,0,0,0.35,-2.94,0.00,-0.10,0.99,0.19
0.84472656,0.0012236033,0.0017764084,0.0016211201,-0.1,0.99,0.19,11143,10152.60,0,0,165,0.49,-2.87,0.00,-0.10,0.99,0.19
-0.15527344,2.2360263E-4,7.764064E-4,6.211201E-4,-0.1,0.99,0.19,11145,10151.60,0,0,0,0.42,-2.94,-0.07,-0.10,0.99,0.19
-0.15527344,0.0012236033,7.764064E-4,0.0026211203,-0.1,0.99,0.19,11160,10151.60,0,0,165,0.49,-2.94,0.07,-0.10,0.99,0.19
-0.15527344,2.2360263E-4,-2.2359565E-4,0.0016211201,-0.1,0.99,0.19,11175,10151.60,0,0,0,0.42,-3.01,0.00,-0.10,0.99,0.19
1.1455078,2.2360263E-4,-2.2359565E-4,0.0026211203,-0.1,0.99,0.19,11182,10152.90,0,0,165,0.42,-3.01,0.07,-0.10,0.99,0.19
-0.15527344,2.2360263E-4,-2.2359565E-4,0.0026211203,-0.1,0.99,0.19,11197,10151.60,0,0,0,0.42,-3.01,0.07,-0.10,0.99,0.19
-0.15527344,2.2360263E-4,-0.001223594,0.0036211202,-0.1,0.99,0.19,11212,10151.60,0,0,165,0.42,-3.08,0.14,-0.10,0.99,0.19
0.14550781,2.2360263E-4,-0.001223594,0.0016211201,-0.1,0.99,0.19,11221,10151.90,0,0,0,0.42,-3.08,0.00,-0.10,0.99,0.19
-0.15527344,0.0022236034,-0.001223594,0.0026211203,-0.1,0.99,0.19,11235,10151.60,0,0,165,0.56,-3.08,0.07,-0.10,0.99,0.19
-1.1552734,2.2360263E-4,-0.002223596,0.0016211201,-0.1,0.99,0.19,11250,10150.60,0,0,0,0.42,-3.15,0.00,-0.10,0.99,0.19
-0.15527344,2.2360263E-4,-0.001223594,0.0026211203,-0.1,0.99,0.19,11257,10151.60,0,0,165,0.42,-3.08,0.07,-0.10,0.99,0.19
-0.15527344,-7.7639706E-4,-0.002223596,0.0036211202,-0.1,0.99,0.19,11272,10151.60,0,0,0,0.35,-3.15,0.14,-0.10,0.99,0.19
0.14550781,0.0022236034,-2.2359565E-4,0.0036211202,-0.1,0.99,0.19,11287,10151.90,0,0,165,0.56,-3.01,0.14,-0.10,0.99,0.19
-0.15527344,-7.7639706E-4,-0.001223594,0.0026211203,-0.1,0.99,0.19,11294,10151.60,0,0,0,0.35,-3.08,0.07,-0.10,0.99,0.19
-0.15527344,0.0012236033,7.764064E-4,0.0026211203,-0.1,0.99,0.19,11309,10151.60,0,0,165,0.49,-2.94,0.07,-0.10,0.99,0.19
0.84472656,2.2360263E-4,-2.2359565E-4,0.0026211203,-0.1,0.99,0.19,11324,10152.60,0,0,0,0.42,-3.01,0.07,-0.10,0.99,0.19
0.84472656,-7.7639706E-4,-0.001223594,0.0026211203,-0.1,0.99,0.19,11332,10152.60,0,0,165,0.35,-3.08,0.07,-0.10,0.99,0.19
0.84472656,-0.0017763968,0.0017764084,0.0026211203,-0.1,0.99,0.19,11347,10152.60,0,0,0,0.28,-2.87,0.07,-0.10,0.99,0.19
-0.15527344,-7.7639706E-4,7.764064E-4,0.0036211202,-0.1,0.99,0.19,11362,10151.60,0,0,165,0.35,-2.94,0.14,-0.10,0.99,0.19
-0.15527344,-7.7639706E-4,7.764064E-4,0.00462112,-0.1,0.99,0.19,11370,10151.60,0,0,0,0.35,-2.94,0.21,-0.10,0.99,0.19
0.14550781,0.0012236033,0.0017764084,0.0036211202,-0.1,0.99,0.19,11385,10151.90,0,0,165,0.49,-2.87,0.14,-0.10,0.99,0.19
0.84472656,2.2360263E-4,-2.2359565E-4,6.211201E-4,-0.1,0.99,0.19,11400,10152.60,0,0,0,0.42,-3.01,-0.07,-0.10,0.99,0.19
0.14550781,-7.7639706E-4,-2.2359565E-4,0.0016211201,-0.1,0.99,0.19,11407,10151.90,0,0,165,0.35,-3.01,0.00,-0.10,0.99,0.19
-0.15527344,2.2360263E-4,0.0017764084,6.211201E-4,-0.1,0.99,0.19,11422,10151.60,0,0,0,0.42,-2.87,-0.07,-0.10,0.99,0.19
-0.15527344,-7.7639706E-4,7.764064E-4,6.211201E-4,-0.1,0.99,0.19,11437,10151.60,0,0,165,0.35,-2.94,-0.07,-0.10,0.99,0.19
-0.15527344,0.0012236033,7.764064E-4,0.0016211201,-0.1,0.99,0.19,11453,10151.60,0,0,0,0.49,-2.94,0.00,-0.10,0.99,0.19
0.84472656,0.0012236033,7.764064E-4,0.0016211201,-0.1,0.99,0.19,11460,10152.60,0,0,165,0.49,-2.94,0.00,-0.10,0.99,0.19
0.84472656,0.0012236033,0.0017764084,0.0036211202,-0.1,0.99,0.19,11476,10152.60,0,0,0,0.49,-2.87,0.14,-0.10,0.99,0.19
-0.15527344,2.2360263E-4,0.0027764067,0.0026211203,-0.1,0.99,0.19,11483,10151.60,0,0,165,0.42,-2.80,0.07,-0.10,0.99,0.19
0.84472656,2.2360263E-4,7.764064E-4,0.0026211203,-0.1,0.99,0.19,11498,10152.60,0,0,0,0.42,-2.94,0.07,-0.10,0.99,0.19
0.84472656,-0.0017763968,-2.2359565E-4,0.0026211203,-0.1,0.99,0.19,11513,10152.60,0,0,165,0.28,-3.01,0.07,-0.10,0.99,0.19
1.1455078,2.2360263E-4,7.764064E-4,0.0026211203,-0.1,0.99,0.19,11522,10152.90,0,0,0,0.42,-2.94,0.07,-0.10,0.99,0.19
-0.15527344,-7.7639706E-4,7.764064E-4,0.0026211203,-0.1,0.99,0.19,11534,10151.60,0,0,165,0.35,-2.94,0.07,-0.10,0.99,0.19
-0.15527344,2.2360263E-4,-0.001223594,0.0026211203,-0.1,0.99,0.19,11550,10151.60,0,0,0,0.42,-3.08,0.07,-0.10,0.99,0.19
0.84472656,-7.7639706E-4,-2.2359565E-4,0.0036211202,-0.1,0.99,0.19,11557,10152.60,0,0,165,0.35,-3.01,0.14,-0.10,0.99,0.19
