Pressure_Rel,GyroX_Rel,GyroY_Rel,GyroZ_Rel,AccX_Rel,AccY_Rel,AccZ_Rel,Timestamp,Pressure_abs,HeartRate,Oxygen,Status,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3257,10067.20,0,0,165,0.91,-3.29,0.63,-0.21,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3264,10068.20,0,0,0,1.33,-2.94,0.70,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3279,10066.60,0,0,165,1.26,-2.87,0.70,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3295,10068.20,0,0,0,0.84,-2.80,0.49,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3302,10067.20,0,0,165,0.14,-2.59,0.14,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317,10068.20,0,0,0,0.14,-2.31,0.14,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3332,10066.60,0,0,165,0.00,-1.82,0.07,-0.19,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3339,10067.20,0,0,0,-0.21,-2.17,0.14,-0.18,0.96,-0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3355,10067.20,0,0,165,-0.42,-2.73,-0.07,-0.18,0.96,-0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3370,10067.20,0,0,0,-0.28,-3.22,0.00,-0.18,0.96,-0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376,10066.30,0,0,165,0.07,-3.50,0.00,-0.18,0.96,-0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3391,10067.20,0,0,0,0.77,-3.43,0.21,-0.19,0.96,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3407,10067.20,0,0,165,1.05,-3.01,0.28,-0.19,0.96,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3415,10067.20,0,0,0,1.05,-2.59,0.21,-0.19,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430,10067.60,0,0,165,1.12,-2.45,0.21,-0.19,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3446,10067.20,0,0,0,1.33,-2.38,-0.07,-0.18,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452,10068.20,0,0,165,1.40,-2.80,-0.14,-0.18,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3467,10067.20,0,0,0,1.19,-3.29,-0.07,-0.18,0.95,-0.27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3482,10067.60,0,0,165,0.91,-3.57,0.00,-0.19,0.95,-0.27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490,10066.30,0,0,0,0.63,-3.57,-0.07,-0.19,0.95,-0.27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3504,10067.60,0,0,165,0.49,-3.29,0.00,-0.20,0.95,-0.27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3519,10067.20,0,0,0,0.21,-3.15,-0.07,-0.20,0.95,-0.27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3527,10067.60,0,0,165,0.00,-3.15,-0.07,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3542,10067.60,0,0,0,-0.07,-3.08,-0.07,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3557,10066.60,0,0,165,0.14,-3.01,-0.07,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3564,10066.60,0,0,0,0.49,-2.87,0.07,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3579,10066.60,0,0,165,0.70,-2.73,0.14,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3594,10067.60,0,0,0,0.84,-2.66,0.21,-0.20,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602,10067.60,0,0,165,1.05,-2.59,0.28,-0.20,0.96,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617,10067.20,0,0,0,1.05,-2.24,0.28,-0.20,0.96,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3632,10067.60,0,0,165,1.05,-2.31,0.35,-0.19,0.95,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639,10066.60,0,0,0,0.77,-2.45,0.21,-0.19,0.96,-0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3661,10066.30,0,0,165,0.63,-2.66,0.14,-0.18,0.96,-0.26
