Timestamp,Mode,Data
15:10:47.923,RX,"Differential Pressure values:"
15:10:47.923,RX,"-0.42"
15:10:47.923,RX,"Pressure values:"
15:10:47.923,RX,"9890.30"
15:10:48.101,RX,"Differential Pressure values:"
15:10:48.102,RX,"-0.42"
15:10:48.103,RX,"Pressure values:"
15:10:48.161,RX,"9890.60"
15:10:48.282,RX,"Differential Pressure values:"
15:10:48.282,RX,"-0.12"
15:10:48.282,RX,"Pressure values:"
15:10:48.282,RX,"9890.50"
15:10:48.432,RX,"Differential Pressure values:"
15:10:48.432,RX,"-0.42"
15:10:48.432,RX,"Pressure values:"
15:10:48.432,RX,"9890.30"
15:10:48.581,RX,"Differential Pressure values:"
15:10:48.581,RX,"-0.42"
15:10:48.582,RX,"Pressure values:"
15:10:48.582,RX,"9890.50"
15:10:48.754,RX,"Differential Pressure values:"
15:10:48.757,RX,"-0.12"
15:10:48.757,RX,"Pressure values:"
15:10:48.757,RX,"9890.60"
15:10:48.882,RX,"Differential Pressure values:"
15:10:48.882,RX,"-0.32"
15:10:48.882,RX,"Pressure values:"
15:10:48.882,RX,"9890.40"
15:10:49.031,RX,"Differential Pressure values:"
15:10:49.032,RX,"-0.22"
15:10:49.032,RX,"Pressure values:"
15:10:49.033,RX,"9890.40"
15:10:49.182,RX,"Differential Pressure values:"
15:10:49.182,RX,"-0.42"
15:10:49.182,RX,"Pressure values:"
15:10:49.182,RX,"9890.40"
15:10:49.332,RX,"Differential Pressure values:"
15:10:49.332,RX,"-0.42"
15:10:49.332,RX,"Pressure values:"
15:10:49.332,RX,"9890.40"
15:10:49.481,RX,"Differential Pressure values:"
15:10:49.481,RX,"-0.32"
15:10:49.482,RX,"Pressure values:"
15:10:49.482,RX,"9890.40"
15:10:49.631,RX,"Differential Pressure values:"
15:10:49.631,RX,"-0.12"
15:10:49.632,RX,"Pressure values:"
15:10:49.632,RX,"9890.40"
15:10:49.782,RX,"Differential Pressure values:"
15:10:49.782,RX,"-0.02"
15:10:49.782,RX,"Pressure values:"
15:10:49.782,RX,"9890.50"
15:10:49.937,RX,"Differential Pressure values:"
15:10:49.937,RX,"-0.32"
15:10:49.937,RX,"Pressure values:"
15:10:49.961,RX,"9890.60"
15:10:50.082,RX,"Differential Pressure values:"
15:10:50.082,RX,"-0.32"
15:10:50.082,RX,"Pressure values:"
15:10:50.082,RX,"9890.50"
15:10:50.230,RX,"Differential Pressure values:"
15:10:50.232,RX,"-0.42"
15:10:50.232,RX,"Pressure values:"
15:10:50.232,RX,"9890.50"
15:10:50.381,RX,"Differential Pressure values:"
15:10:50.381,RX,"-0.42"
15:10:50.382,RX,"Pressure values:"
15:10:50.383,RX,"9890.60"
15:10:50.532,RX,"Differential Pressure values:"
15:10:50.532,RX,"-0.12"
15:10:50.532,RX,"Pressure values:"
15:10:50.532,RX,"9890.50"
15:10:50.681,RX,"Differential Pressure values:"
15:10:50.682,RX,"-0.42"
15:10:50.682,RX,"Pressure values:"
15:10:50.683,RX,"9890.40"
15:10:50.832,RX,"Differential Pressure values:"
15:10:50.832,RX,"-0.22"
15:10:50.833,RX,"Pressure values:"
15:10:50.833,RX,"9890.50"
15:10:50.982,RX,"Differential Pressure values:"
15:10:50.982,RX,"-0.22"
15:10:50.982,RX,"Pressure values:"
15:10:50.982,RX,"9890.50"
15:10:51.132,RX,"Differential Pressure values:"
15:10:51.132,RX,"-0.32"
15:10:51.132,RX,"Pressure values:"
15:10:51.132,RX,"9890.30"
15:10:51.281,RX,"Differential Pressure values:"
15:10:51.281,RX,"-0.02"
15:10:51.282,RX,"Pressure values:"
15:10:51.282,RX,"9890.60"
15:10:51.432,RX,"Differential Pressure values:"
15:10:51.432,RX,"-0.12"
15:10:51.432,RX,"Pressure values:"
15:10:51.432,RX,"9890.30"
15:10:51.582,RX,"Differential Pressure values:"
15:10:51.582,RX,"-0.02"
15:10:51.582,RX,"Pressure values:"
15:10:51.582,RX,"9890.30"
15:10:51.731,RX,"Differential Pressure values:"
15:10:51.731,RX,"-0.22"
15:10:51.732,RX,"Pressure values:"
15:10:51.733,RX,"9890.60"
15:10:51.882,RX,"Differential Pressure values:"
15:10:51.882,RX,"-0.32"
15:10:51.882,RX,"Pressure values:"
15:10:51.882,RX,"9890.40"
15:10:52.032,RX,"Differential Pressure values:"
15:10:52.032,RX,"-0.12"
15:10:52.032,RX,"Pressure values:"
15:10:52.032,RX,"9890.20"
15:10:52.181,RX,"Differential Pressure values:"
15:10:52.181,RX,"-0.42"
15:10:52.182,RX,"Pressure values:"
15:10:52.182,RX,"9890.50"
15:10:52.332,RX,"Differential Pressure values:"
15:10:52.332,RX,"-0.32"
15:10:52.332,RX,"Pressure values:"
15:10:52.332,RX,"9890.50"
15:10:52.482,RX,"Differential Pressure values:"
15:10:52.482,RX,"-0.32"
15:10:52.482,RX,"Pressure values:"
15:10:52.482,RX,"9890.50"
15:10:52.631,RX,"Differential Pressure values:"
15:10:52.631,RX,"-0.22"
15:10:52.632,RX,"Pressure values:"
15:10:52.633,RX,"9890.30"
15:10:52.782,RX,"Differential Pressure values:"
15:10:52.782,RX,"-0.22"
15:10:52.782,RX,"Pressure values:"
15:10:52.782,RX,"9890.40"
15:10:52.932,RX,"Differential Pressure values:"
15:10:52.932,RX,"-0.22"
15:10:52.932,RX,"Pressure values:"
15:10:52.932,RX,"9890.50"
15:10:53.082,RX,"Differential Pressure values:"
15:10:53.082,RX,"-0.12"
15:10:53.082,RX,"Pressure values:"
15:10:53.082,RX,"9890.40"
15:10:53.232,RX,"Differential Pressure values:"
15:10:53.232,RX,"-0.32"
15:10:53.232,RX,"Pressure values:"
15:10:53.232,RX,"9890.50"
15:10:53.380,RX,"Differential Pressure values:"
15:10:53.382,RX,"-0.12"
15:10:53.382,RX,"Pressure values:"
15:10:53.382,RX,"9890.60"
15:10:53.531,RX,"Differential Pressure values:"
15:10:53.531,RX,"-0.22"
15:10:53.532,RX,"Pressure values:"
15:10:53.533,RX,"9890.50"
15:10:53.681,RX,"Differential Pressure values:"
15:10:53.682,RX,"-0.22"
15:10:53.682,RX,"Pressure values:"
15:10:53.683,RX,"9890.60"
15:10:53.832,RX,"Differential Pressure values:"
15:10:53.832,RX,"-0.32"
15:10:53.832,RX,"Pressure values:"
15:10:53.832,RX,"9890.50"
15:10:53.981,RX,"Differential Pressure values:"
15:10:53.981,RX,"-0.32"
15:10:53.982,RX,"Pressure values:"
15:10:53.982,RX,"9890.60"
15:10:54.130,RX,"Differential Pressure values:"
15:10:54.132,RX,"-0.52"
15:10:54.132,RX,"Pressure values:"
15:10:54.132,RX,"9890.60"
15:10:54.283,RX,"Differential Pressure values:"
15:10:54.283,RX,"-0.12"
15:10:54.283,RX,"Pressure values:"
15:10:54.283,RX,"9890.40"
15:10:54.431,RX,"Differential Pressure values:"
15:10:54.431,RX,"-0.22"
15:10:54.432,RX,"Pressure values:"
15:10:54.432,RX,"9890.50"
15:10:54.582,RX,"Differential Pressure values:"
15:10:54.582,RX,"-0.22"
