Timestamp,Mode,Data,differential pressure value,pressure values
15:34:22.935,RX,Pressure values:,-0.36,9903.80
15:34:22.939,RX,9903.80,-0.36,9903.80
15:34:23.081,RX,Differential Pressure values:,-0.26,9903.80
15:34:23.081,RX,-0.26,-0.26,9903.80
15:34:23.082,RX,Pressure values:,-0.26,9903.60
15:34:23.082,RX,9903.60,-0.26,9903.60
15:34:23.231,RX,Differential Pressure values:,-0.46,9903.60
15:34:23.231,RX,-0.46,-0.46,9903.60
15:34:23.231,RX,Pressure values:,-0.46,9903.80
15:34:23.231,RX,9903.80,-0.46,9903.80
15:34:23.381,RX,Differential Pressure values:,-0.16,9903.80
15:34:23.381,RX,-0.16,-0.16,9903.80
15:34:23.381,RX,Pressure values:,-0.16,9903.90
15:34:23.381,RX,9903.90,-0.16,9903.90
15:34:23.531,RX,Differential Pressure values:,-0.16,9903.90
15:34:23.531,RX,-0.16,-0.16,9903.90
15:34:23.532,RX,Pressure values:,-0.16,9903.90
15:34:23.532,RX,9903.90,-0.16,9903.90
15:34:23.681,RX,Differential Pressure values:,-0.16,9903.90
15:34:23.681,RX,-0.16,-0.16,9903.90
15:34:23.681,RX,Pressure values:,-0.16,9904.00
15:34:23.681,RX,9904.00,-0.16,9904.00
15:34:23.832,RX,Differential Pressure values:,-0.06,9904.00
15:34:23.832,RX,-0.06,-0.06,9904.00
15:34:23.832,RX,Pressure values:,-0.06,9903.80
15:34:23.832,RX,9903.80,-0.06,9903.80
15:34:23.982,RX,Differential Pressure values:,-0.06,9903.80
15:34:23.982,RX,-0.06,-0.06,9903.80
15:34:23.982,RX,Pressure values:,-0.06,9903.80
15:34:23.982,RX,9903.80,-0.06,9903.80
15:34:24.131,RX,Differential Pressure values:,-0.26,9903.80
15:34:24.131,RX,-0.26,-0.26,9903.80
15:34:24.131,RX,Pressure values:,-0.26,9903.90
15:34:24.132,RX,9903.90,-0.26,9903.90
15:34:24.281,RX,Differential Pressure values:,-0.36,9903.90
15:34:24.281,RX,-0.36,-0.36,9903.90
15:34:24.281,RX,Pressure values:,-0.36,9903.60
15:34:24.281,RX,9903.60,-0.36,9903.60
15:34:24.431,RX,Differential Pressure values:,-0.26,9903.60
15:34:24.431,RX,-0.26,-0.26,9903.60
15:34:24.432,RX,Pressure values:,-0.26,9904.00
15:34:24.432,RX,9904.00,-0.26,9904.00
15:34:24.581,RX,Differential Pressure values:,-0.16,9904.00
15:34:24.581,RX,-0.16,-0.16,9904.00
15:34:24.581,RX,Pressure values:,-0.16,9903.90
15:34:24.581,RX,9903.90,-0.16,9903.90
15:34:24.731,RX,Differential Pressure values:,-0.46,9903.90
15:34:24.731,RX,-0.46,-0.46,9903.90
15:34:24.731,RX,Pressure values:,-0.46,9903.90
15:34:24.731,RX,9903.90,-0.46,9903.90
15:34:24.880,RX,Differential Pressure values:,-0.46,9903.90
15:34:24.881,RX,-0.46,-0.46,9903.90
15:34:24.882,RX,Pressure values:,-0.46,9903.90
15:34:24.882,RX,9903.90,-0.46,9903.90
15:34:25.032,RX,Differential Pressure values:,-0.26,9903.90
15:34:25.032,RX,-0.26,-0.26,9903.90
15:34:25.032,RX,Pressure values:,-0.26,9904.00
15:34:25.032,RX,9904.00,-0.26,9904.00
15:34:25.183,RX,Differential Pressure values:,-0.16,9904.00
15:34:25.183,RX,-0.16,-0.16,9904.00
15:34:25.183,RX,Pressure values:,-0.16,9903.90
15:34:25.183,RX,9903.90,-0.16,9903.90
15:34:25.331,RX,Differential Pressure values:,-0.46,9903.90
15:34:25.331,RX,-0.46,-0.46,9903.90
15:34:25.332,RX,Pressure values:,-0.46,9903.80
15:34:25.332,RX,9903.80,-0.46,9903.80
15:34:25.481,RX,Differential Pressure values:,-0.26,9903.80
15:34:25.481,RX,-0.26,-0.26,9903.80
15:34:25.481,RX,Pressure values:,-0.26,9904.00
15:34:25.481,RX,9904.00,-0.26,9904.00
15:34:25.631,RX,Differential Pressure values:,-0.36,9904.00
15:34:25.631,RX,-0.36,-0.36,9904.00
15:34:25.631,RX,Pressure values:,-0.36,9903.80
15:34:25.631,RX,9903.80,-0.36,9903.80
15:34:25.781,RX,Differential Pressure values:,-0.26,9903.80
15:34:25.781,RX,-0.26,-0.26,9903.80
15:34:25.782,RX,Pressure values:,-0.26,9903.80
15:34:25.782,RX,9903.80,-0.26,9903.80
15:34:25.931,RX,Differential Pressure values:,-0.36,9903.80
15:34:25.931,RX,-0.36,-0.36,9903.80
15:34:25.931,RX,Pressure values:,-0.36,9903.80
15:34:25.931,RX,9903.80,-0.36,9903.80
15:34:26.081,RX,Differential Pressure values:,-0.36,9903.80
15:34:26.081,RX,-0.36,-0.36,9903.80
15:34:26.081,RX,Pressure values:,-0.36,9903.70
15:34:26.082,RX,9903.70,-0.36,9903.70
15:34:26.231,RX,Differential Pressure values:,-0.36,9903.70
15:34:26.231,RX,-0.36,-0.36,9903.70
15:34:26.232,RX,Pressure values:,-0.36,9903.90
15:34:26.232,RX,9903.90,-0.36,9903.90
15:34:26.381,RX,Differential Pressure values:,-0.36,9903.90
15:34:26.382,RX,-0.36,-0.36,9903.90
15:34:26.382,RX,Pressure values:,-0.36,9903.70
15:34:26.382,RX,9903.70,-0.36,9903.70
15:34:26.531,RX,Differential Pressure values:,-0.26,9903.70
15:34:26.531,RX,-0.26,-0.26,9903.70
15:34:26.531,RX,Pressure values:,-0.26,9903.80
15:34:26.531,RX,9903.80,-0.26,9903.80
15:34:26.681,RX,Differential Pressure values:,-0.26,9903.80
15:34:26.681,RX,-0.26,-0.26,9903.80
15:34:26.682,RX,Pressure values:,-0.26,9903.80
15:34:26.682,RX,9903.80,-0.26,9903.80
15:34:26.831,RX,Differential Pressure values:,-0.26,9903.80
15:34:26.832,RX,-0.26,-0.26,9903.80
15:34:26.832,RX,Pressure values:,-0.26,9904.00
15:34:26.832,RX,9904.00,-0.26,9904.00
15:34:26.980,RX,Differential Pressure values:,-0.16,9904.00
15:34:26.983,RX,-0.16,-0.16,9904.00
15:34:26.983,RX,Pressure values:,-0.16,9903.80
15:34:26.983,RX,9903.80,-0.16,9903.80
15:34:27.131,RX,Differential Pressure values:,-0.16,9903.80
15:34:27.131,RX,-0.16,-0.16,9903.80
15:34:27.133,RX,Pressure values:,-0.16,9903.80
15:34:27.133,RX,9903.80,-0.16,9903.80
15:34:27.281,RX,Differential Pressure values:,-0.36,9903.80
15:34:27.281,RX,-0.36,-0.36,9903.80
15:34:27.281,RX,Pressure values:,-0.36,9903.70
15:34:27.281,RX,9903.70,-0.36,9903.70
15:34:27.431,RX,Differential Pressure values:,-0.16,9903.70
15:34:27.431,RX,-0.16,-0.16,9903.70
15:34:27.431,RX,Pressure values:,-0.16,9903.80
15:34:27.431,RX,9903.80,-0.16,9903.80
15:34:27.581,RX,Differential Pressure values:,-0.36,9903.80
15:34:27.581,RX,-0.36,-0.36,9903.80
15:34:27.582,RX,Pressure values:,-0.36,9904.00
15:34:27.582,RX,9904.00,-0.36,9904.00
15:34:27.732,RX,Differential Pressure values:,-0.16,9904.00
15:34:27.732,RX,-0.16,-0.16,9904.00
15:34:27.732,RX,Pressure values:,-0.16,9903.80
15:34:27.732,RX,9903.80,-0.16,9903.80
15:34:27.881,RX,Differential Pressure values:,-0.16,9903.80
15:34:27.881,RX,-0.16,-0.16,9903.80
15:34:27.881,RX,Pressure values:,-0.16,9903.80
15:34:27.882,RX,9903.80,-0.16,9903.80
15:34:28.030,RX,Differential Pressure values:,-0.26,9903.80
15:34:28.031,RX,-0.26,-0.26,9903.80
15:34:28.032,RX,Pressure values:,-0.26,9903.90
15:34:28.032,RX,9903.90,-0.26,9903.90
15:34:28.181,RX,Differential Pressure values:,-0.26,9903.90
15:34:28.181,RX,-0.26,-0.26,9903.90
15:34:28.181,RX,Pressure values:,-0.26,9903.90
15:34:28.181,RX,9903.90,-0.26,9903.90
15:34:28.331,RX,Differential Pressure values:,-0.46,9903.90
15:34:28.331,RX,-0.46,-0.46,9903.90
15:34:28.331,RX,Pressure values:,-0.46,9903.90
15:34:28.331,RX,9903.90,-0.46,9903.90
15:34:28.481,RX,Differential Pressure values:,-0.26,9903.90
15:34:28.481,RX,-0.26,-0.26,9903.90
15:34:28.482,RX,Pressure values:,-0.26,9903.90
15:34:28.482,RX,9903.90,-0.26,9903.90
15:34:28.631,RX,Differential Pressure values:,-0.16,9903.90
15:34:28.631,RX,-0.16,-0.16,9903.90
15:34:28.631,RX,Pressure values:,-0.16,9904.00
15:34:28.632,RX,9904.00,-0.16,9904.00
15:34:28.781,RX,Differential Pressure values:,-0.16,9904.00
15:34:28.782,RX,-0.16,-0.16,9904.00
15:34:28.782,RX,Pressure values:,-0.16,9903.90
15:34:28.782,RX,9903.90,-0.16,9903.90
15:34:28.931,RX,Differential Pressure values:,-0.26,9903.90
15:34:28.931,RX,-0.26,-0.26,9903.90
15:34:28.932,RX,Pressure values:,-0.26,9903.80
15:34:28.932,RX,9903.80,-0.26,9903.80
15:34:29.081,RX,Differential Pressure values:,-0.36,9903.80
15:34:29.081,RX,-0.36,-0.36,9903.80
15:34:29.082,RX,Pressure values:,-0.36,9903.70
15:34:29.082,RX,9903.70,-0.36,9903.70
15:34:29.231,RX,Differential Pressure values:,-0.06,9903.70
15:34:29.231,RX,-0.06,-0.06,9903.70
15:34:29.231,RX,Pressure values:,-0.06,9904.00
15:34:29.231,RX,9904.00,-0.06,9904.00
15:34:29.381,RX,Differential Pressure values:,-0.26,9904.00
15:34:29.381,RX,-0.26,-0.26,9904.00
15:34:29.382,RX,Pressure values:,-0.26,9903.80
15:34:29.382,RX,9903.80,-0.26,9903.80
15:34:29.530,RX,Differential Pressure values:,-0.26,9903.80
15:34:29.532,RX,-0.26,-0.26,9903.80
15:34:29.532,RX,Pressure values:,-0.26,9903.80
15:34:29.532,RX,9903.80,-0.26,9903.80
15:34:29.681,RX,Differential Pressure values:,-0.06,9903.80
15:34:29.681,RX,-0.06,-0.06,9903.80
15:34:29.682,RX,Pressure values:,-0.06,9904.00
15:34:29.682,RX,9904.00,-0.06,9904.00
15:34:29.831,RX,Differential Pressure values:,-0.16,9904.00
15:34:29.831,RX,-0.16,-0.16,9904.00
15:34:29.832,RX,Pressure values:,-0.16,9903.80
15:34:29.832,RX,9903.80,-0.16,9903.80
15:34:29.981,RX,Differential Pressure values:,-0.06,9903.80
15:34:29.981,RX,-0.06,-0.06,9903.80
15:34:29.982,RX,Pressure values:,-0.06,9904.00
15:34:29.982,RX,9904.00,-0.06,9904.00
15:34:30.131,RX,Differential Pressure values:,-0.16,9904.00
15:34:30.131,RX,-0.16,-0.16,9904.00
15:34:30.131,RX,Pressure values:,-0.16,9904.00
15:34:30.132,RX,9904.00,-0.16,9904.00
15:34:30.281,RX,Differential Pressure values:,-0.06,9904.00
15:34:30.281,RX,-0.06,-0.06,9904.00
15:34:30.282,RX,Pressure values:,-0.06,9904.00
15:34:30.282,RX,9904.00,-0.06,9904.00
15:34:30.431,RX,Differential Pressure values:,-0.26,9904.00
15:34:30.431,RX,-0.26,-0.26,9904.00
15:34:30.431,RX,Pressure values:,-0.26,9903.90
15:34:30.432,RX,9903.90,-0.26,9903.90
15:34:30.581,RX,Differential Pressure values:,-0.16,9903.90
15:34:30.581,RX,-0.16,-0.16,9903.90
15:34:30.582,RX,Pressure values:,-0.16,9903.80
15:34:30.582,RX,9903.80,-0.16,9903.80
15:34:30.731,RX,Differential Pressure values:,0.03,9903.80
15:34:30.731,RX,0.03,0.03,9903.80
15:34:30.732,RX,Pressure values:,0.03,9904.00
15:34:30.732,RX,9904.00,0.03,9904.00
15:34:30.881,RX,Differential Pressure values:,-0.16,9904.00
15:34:30.882,RX,-0.16,-0.16,9904.00
15:34:30.882,RX,Pressure values:,-0.16,9904.00
15:34:30.882,RX,9904.00,-0.16,9904.00
15:34:31.031,RX,Differential Pressure values:,-0.16,9904.00
15:34:31.031,RX,-0.16,-0.16,9904.00
15:34:31.031,RX,Pressure values:,-0.16,9903.90
15:34:31.031,RX,9903.90,-0.16,9903.90
15:34:31.181,RX,Differential Pressure values:,-0.26,9903.90
15:34:31.181,RX,-0.26,-0.26,9903.90
15:34:31.182,RX,Pressure values:,-0.26,9904.00
15:34:31.182,RX,9904.00,-0.26,9904.00
15:34:31.331,RX,Differential Pressure values:,-0.26,9904.00
15:34:31.331,RX,-0.26,-0.26,9904.00
15:34:31.331,RX,Pressure values:,-0.26,9904.10
15:34:31.332,RX,9904.10,-0.26,9904.10
15:34:31.481,RX,Differential Pressure values:,-0.06,9904.10
15:34:31.482,RX,-0.06,-0.06,9904.10
15:34:31.482,RX,Pressure values:,-0.06,9904.00
15:34:31.482,RX,9904.00,-0.06,9904.00
15:34:31.631,RX,Differential Pressure values:,-0.06,9904.00
15:34:31.631,RX,-0.06,-0.06,9904.00
15:34:31.632,RX,Pressure values:,-0.06,9904.10
15:34:31.632,RX,9904.10,-0.06,9904.10
15:34:31.781,RX,Differential Pressure values:,-0.16,9904.10
15:34:31.781,RX,-0.16,-0.16,9904.10
15:34:31.782,RX,Pressure values:,-0.16,9904.10
15:34:31.782,RX,9904.10,-0.16,9904.10
15:34:31.931,RX,Differential Pressure values:,-0.06,9904.10
15:34:31.931,RX,-0.06,-0.06,9904.10
15:34:31.932,RX,Pressure values:,-0.06,9904.10
15:34:31.932,RX,9904.10,-0.06,9904.10
15:34:32.081,RX,Differential Pressure values:,-0.06,9904.10
15:34:32.081,RX,-0.06,-0.06,9904.10
15:34:32.082,RX,Pressure values:,-0.06,9904.20
15:34:32.082,RX,9904.20,-0.06,9904.20
15:34:32.231,RX,Differential Pressure values:,0.03,9904.20
15:34:32.231,RX,0.03,0.03,9904.20
15:34:32.231,RX,Pressure values:,0.03,9904.30
15:34:32.232,RX,9904.30,0.03,9904.30
15:34:32.381,RX,Differential Pressure values:,0.03,9904.30
15:34:32.381,RX,0.03,0.03,9904.30
15:34:32.382,RX,Pressure values:,0.03,9904.20
15:34:32.382,RX,9904.20,0.03,9904.20
15:34:32.531,RX,Differential Pressure values:,-0.06,9904.20
