Timestamp,Mode,Data
14:37:43.684,RX,Differential Pressure values:
14:37:43.684,RX,50.54
14:37:43.684,RX,Pressure values:
14:37:43.684,RX,9918.00
14:37:43.834,RX,Differential Pressure values:
14:37:43.836,RX,50.54
14:37:43.836,RX,Pressure values:
14:37:43.836,RX,9917.90
14:37:43.984,RX,Differential Pressure values:
14:37:43.984,RX,50.74
14:37:43.984,RX,Pressure values:
14:37:43.985,RX,9917.90
14:37:44.134,RX,Differential Pressure values:
14:37:44.134,RX,50.64
14:37:44.134,RX,Pressure values:
14:37:44.134,RX,9918.00
14:37:44.284,RX,Differential Pressure values:
14:37:44.286,RX,50.64
14:37:44.286,RX,Pressure values:
14:37:44.287,RX,9918.00
14:37:44.463,RX,Differential Pressure values:
14:37:44.465,RX,50.64
14:37:44.494,RX,Pressure values:
14:37:44.494,RX,9918.00
14:37:44.613,RX,Differential Pressure values:
14:37:44.613,RX,50.74
14:37:44.614,RX,Pressure values:
14:37:44.614,RX,9917.90
14:37:44.763,RX,Differential Pressure values:
14:37:44.764,RX,50.74
14:37:44.765,RX,Pressure values:
14:37:44.765,RX,9918.10
14:37:44.915,RX,Differential Pressure values:
14:37:44.915,RX,50.64
14:37:44.915,RX,Pressure values:
14:37:44.915,RX,9917.80
14:37:45.063,RX,Differential Pressure values:
14:37:45.063,RX,50.64
14:37:45.065,RX,Pressure values:
14:37:45.065,RX,9918.10
14:37:45.214,RX,Differential Pressure values:
14:37:45.214,RX,50.44
14:37:45.215,RX,Pressure values:
14:37:45.215,RX,9917.90
14:37:45.363,RX,Differential Pressure values:
14:37:45.365,RX,50.64
14:37:45.366,RX,Pressure values:
14:37:45.366,RX,9918.00
14:37:45.514,RX,Differential Pressure values:
14:37:45.514,RX,50.54
14:37:45.514,RX,Pressure values:
14:37:45.516,RX,9918.00
14:37:45.664,RX,Differential Pressure values:
14:37:45.664,RX,50.54
14:37:45.664,RX,Pressure values:
14:37:45.664,RX,9918.00
14:37:45.814,RX,Differential Pressure values:
14:37:45.816,RX,50.94
14:37:45.816,RX,Pressure values:
14:37:45.816,RX,9918.10
14:37:45.981,RX,Differential Pressure values:
14:37:45.982,RX,50.64
14:37:45.982,RX,Pressure values:
14:37:45.995,RX,9918.00
14:37:46.114,RX,Differential Pressure values:
14:37:46.114,RX,50.54
14:37:46.114,RX,Pressure values:
14:37:46.114,RX,9918.00
14:37:46.263,RX,Differential Pressure values:
14:37:46.264,RX,50.64
14:37:46.264,RX,Pressure values:
14:37:46.264,RX,9917.80
14:37:46.414,RX,Differential Pressure values:
14:37:46.414,RX,50.74
14:37:46.414,RX,Pressure values:
14:37:46.416,RX,9918.00
14:37:46.564,RX,Differential Pressure values:
14:37:46.564,RX,50.54
14:37:46.564,RX,Pressure values:
14:37:46.564,RX,9918.00
14:37:46.714,RX,Differential Pressure values:
14:37:46.716,RX,50.74
14:37:46.716,RX,Pressure values:
14:37:46.716,RX,9918.00
14:37:46.864,RX,Differential Pressure values:
14:37:46.864,RX,50.74
14:37:46.864,RX,Pressure values:
14:37:46.866,RX,9918.00
14:37:47.014,RX,Differential Pressure values:
14:37:47.014,RX,50.64
14:37:47.015,RX,Pressure values:
14:37:47.015,RX,9918.00
14:37:47.164,RX,Differential Pressure values:
14:37:47.166,RX,50.74
14:37:47.167,RX,Pressure values:
14:37:47.167,RX,9918.00
14:37:47.315,RX,Differential Pressure values:
14:37:47.315,RX,50.64
14:37:47.315,RX,Pressure values:
14:37:47.315,RX,9918.00
14:37:47.463,RX,Differential Pressure values:
14:37:47.464,RX,50.74
14:37:47.465,RX,Pressure values:
14:37:47.465,RX,9918.10
14:37:47.614,RX,Differential Pressure values:
14:37:47.614,RX,50.74
14:37:47.614,RX,Pressure values:
14:37:47.614,RX,9918.00
14:37:47.764,RX,Differential Pressure values:
14:37:47.764,RX,50.44
14:37:47.764,RX,Pressure values:
14:37:47.766,RX,9918.10
14:37:47.914,RX,Differential Pressure values:
14:37:47.914,RX,50.74
14:37:47.914,RX,Pressure values:
14:37:47.914,RX,9917.80
14:37:48.063,RX,Differential Pressure values:
14:37:48.094,RX,50.54
14:37:48.094,RX,Pressure values:
14:37:48.094,RX,9917.90
14:37:48.274,RX,Differential Pressure values:
14:37:48.274,RX,50.84
14:37:48.274,RX,Pressure values:
14:37:48.276,RX,9918.10
14:37:48.424,RX,Differential Pressure values:
14:37:48.424,RX,50.74
14:37:48.424,RX,Pressure values:
14:37:48.424,RX,9918.00
14:37:48.574,RX,Differential Pressure values:
14:37:48.576,RX,50.64
14:37:48.576,RX,Pressure values:
14:37:48.577,RX,9918.10
14:37:48.724,RX,Differential Pressure values:
14:37:48.724,RX,50.74
14:37:48.724,RX,Pressure values:
14:37:48.726,RX,9918.00
14:37:48.874,RX,Differential Pressure values:
14:37:48.874,RX,50.74
14:37:48.874,RX,Pressure values:
14:37:48.902,RX,9917.90
14:37:49.023,RX,Differential Pressure values:
14:37:49.025,RX,50.74
14:37:49.025,RX,Pressure values:
14:37:49.025,RX,9918.00
14:37:49.173,RX,Differential Pressure values:
14:37:49.174,RX,50.64
14:37:49.174,RX,Pressure values:
14:37:49.176,RX,9918.20
14:37:49.354,RX,Differential Pressure values:
14:37:49.354,RX,50.84
14:37:49.354,RX,Pressure values:
14:37:49.383,RX,9918.10
14:37:49.503,RX,Differential Pressure values:
14:37:49.505,RX,50.74
14:37:49.505,RX,Pressure values:
14:37:49.505,RX,9918.10
14:37:49.655,RX,Differential Pressure values:
14:37:49.655,RX,50.74
14:37:49.655,RX,Pressure values:
14:37:49.683,RX,9918.00
14:37:49.804,RX,Differential Pressure values:
14:37:49.804,RX,50.64
14:37:49.804,RX,Pressure values:
14:37:49.804,RX,9918.20
14:37:49.955,RX,Differential Pressure values:
14:37:49.957,RX,50.54
14:37:49.957,RX,Pressure values:
14:37:49.985,RX,9918.20
14:37:50.104,RX,Differential Pressure values:
14:37:50.104,RX,50.74
14:37:50.104,RX,Pressure values:
14:37:50.106,RX,9917.70
14:37:50.254,RX,Differential Pressure values:
14:37:50.255,RX,50.84
14:37:50.255,RX,Pressure values:
14:37:50.284,RX,9918.30
14:37:50.404,RX,Differential Pressure values:
14:37:50.406,RX,50.74
14:37:50.407,RX,Pressure values:
14:37:50.407,RX,9918.10
14:37:50.554,RX,Differential Pressure values:
14:37:50.554,RX,50.84
14:37:50.554,RX,Pressure values:
14:37:50.583,RX,9918.20
14:37:50.704,RX,Differential Pressure values:
14:37:50.704,RX,50.84
14:37:50.704,RX,Pressure values:
14:37:50.704,RX,9918.10
14:37:50.854,RX,Differential Pressure values:
14:37:50.856,RX,50.94
14:37:50.856,RX,Pressure values:
14:37:50.885,RX,9918.10
14:37:51.004,RX,Differential Pressure values:
14:37:51.004,RX,50.84
14:37:51.004,RX,Pressure values:
14:37:51.006,RX,9918.10
14:37:51.155,RX,Differential Pressure values:
14:37:51.155,RX,50.84
14:37:51.155,RX,Pressure values:
14:37:51.185,RX,9918.00
14:37:51.304,RX,Differential Pressure values:
14:37:51.306,RX,50.94
14:37:51.307,RX,Pressure values:
14:37:51.307,RX,9918.10
14:37:51.454,RX,Differential Pressure values:
14:37:51.454,RX,50.94
14:37:51.454,RX,Pressure values:
14:37:51.513,RX,9918.20
14:37:51.635,RX,Differential Pressure values:
14:37:51.635,RX,50.94
14:37:51.636,RX,Pressure values:
14:37:51.636,RX,9918.10
14:37:51.784,RX,Differential Pressure values:
14:37:51.785,RX,50.74
14:37:51.785,RX,Pressure values:
14:37:51.813,RX,9918.40
14:37:51.934,RX,Differential Pressure values:
14:37:51.934,RX,50.74
14:37:51.934,RX,Pressure values:
14:37:51.936,RX,9917.90
14:37:52.084,RX,Differential Pressure values:
14:37:52.084,RX,51.04
14:37:52.084,RX,Pressure values:
14:37:52.112,RX,9918.10
14:37:52.234,RX,Differential Pressure values:
14:37:52.236,RX,50.84
14:37:52.237,RX,Pressure values:
14:37:52.237,RX,9918.10
14:37:52.383,RX,Differential Pressure values:
14:37:52.384,RX,51.04
14:37:52.385,RX,Pressure values:
14:37:52.413,RX,9918.20
14:37:52.534,RX,Differential Pressure values:
14:37:52.534,RX,50.94
14:37:52.534,RX,Pressure values:
14:37:52.535,RX,9918.20
14:37:52.685,RX,Differential Pressure values:
14:37:52.685,RX,50.84
14:37:52.685,RX,Pressure values:
14:37:52.742,RX,9918.00
14:37:52.833,RX,Differential Pressure values:
14:37:52.834,RX,51.24
14:37:52.835,RX,Pressure values:
14:37:52.835,RX,9918.20
14:37:52.984,RX,Differential Pressure values:
14:37:52.984,RX,50.74
14:37:52.986,RX,Pressure values:
14:37:53.013,RX,9918.20
14:37:53.133,RX,Differential Pressure values:
14:37:53.135,RX,50.84
