Timestamp,Mode,Data
15:41:12.862,RX,"Differential Pressure values:"
15:41:12.863,RX,"-0.25"
15:41:12.864,RX,"Pressure values:"
15:41:12.864,RX,"9882.60"
15:41:13.013,RX,"Differential Pressure values:"
15:41:13.013,RX,"-0.15"
15:41:13.013,RX,"Pressure values:"
15:41:13.015,RX,"9882.70"
15:41:13.163,RX,"Differential Pressure values:"
15:41:13.163,RX,"-0.15"
15:41:13.163,RX,"Pressure values:"
15:41:13.163,RX,"9882.70"
15:41:13.313,RX,"Differential Pressure values:"
15:41:13.316,RX,"-0.15"
15:41:13.316,RX,"Pressure values:"
15:41:13.316,RX,"9882.60"
15:41:13.463,RX,"Differential Pressure values:"
15:41:13.463,RX,"-0.25"
15:41:13.463,RX,"Pressure values:"
15:41:13.465,RX,"9882.80"
15:41:13.612,RX,"Differential Pressure values:"
15:41:13.614,RX,"-0.05"
15:41:13.614,RX,"Pressure values:"
15:41:13.614,RX,"9882.70"
15:41:13.763,RX,"Differential Pressure values:"
15:41:13.766,RX,"-0.25"
15:41:13.766,RX,"Pressure values:"
15:41:13.766,RX,"9882.90"
15:41:13.943,RX,"Differential Pressure values:"
15:41:13.943,RX,"0.04"
15:41:13.943,RX,"Pressure values:"
15:41:13.945,RX,"9882.70"
15:41:14.094,RX,"Differential Pressure values:"
15:41:14.094,RX,"0.04"
15:41:14.094,RX,"Pressure values:"
15:41:14.125,RX,"9882.80"
15:41:14.242,RX,"Differential Pressure values:"
15:41:14.244,RX,"-0.15"
15:41:14.244,RX,"Pressure values:"
15:41:14.244,RX,"9882.70"
15:41:14.423,RX,"Differential Pressure values:"
15:41:14.423,RX,"-0.15"
15:41:14.423,RX,"Pressure values:"
15:41:14.451,RX,"9882.70"
15:41:14.573,RX,"Differential Pressure values:"
15:41:14.573,RX,"-0.35"
15:41:14.573,RX,"Pressure values:"
15:41:14.574,RX,"9882.70"
15:41:14.724,RX,"Differential Pressure values:"
15:41:14.726,RX,"-0.15"
15:41:14.726,RX,"Pressure values:"
15:41:14.754,RX,"9882.60"
15:41:14.873,RX,"Differential Pressure values:"
15:41:14.873,RX,"-0.05"
15:41:14.873,RX,"Pressure values:"
15:41:14.874,RX,"9882.70"
15:41:15.024,RX,"Differential Pressure values:"
15:41:15.024,RX,"-0.15"
15:41:15.024,RX,"Pressure values:"
15:41:15.053,RX,"9882.80"
15:41:15.173,RX,"Differential Pressure values:"
15:41:15.176,RX,"-0.05"
15:41:15.176,RX,"Pressure values:"
15:41:15.176,RX,"9882.70"
15:41:15.323,RX,"Differential Pressure values:"
15:41:15.324,RX,"-0.05"
15:41:15.324,RX,"Pressure values:"
15:41:15.352,RX,"9882.90"
15:41:15.473,RX,"Differential Pressure values:"
15:41:15.473,RX,"0.14"
15:41:15.473,RX,"Pressure values:"
15:41:15.474,RX,"9882.60"
15:41:15.623,RX,"Differential Pressure values:"
15:41:15.626,RX,"0.04"
15:41:15.626,RX,"Pressure values:"
15:41:15.654,RX,"9882.90"
15:41:15.772,RX,"Differential Pressure values:"
15:41:15.774,RX,"-0.05"
15:41:15.774,RX,"Pressure values:"
15:41:15.774,RX,"9882.80"
15:41:15.925,RX,"Differential Pressure values:"
15:41:15.925,RX,"-0.05"
15:41:15.925,RX,"Pressure values:"
15:41:15.954,RX,"9882.70"
15:41:16.076,RX,"Differential Pressure values:"
15:41:16.076,RX,"-0.05"
15:41:16.077,RX,"Pressure values:"
15:41:16.077,RX,"9882.70"
15:41:16.253,RX,"Differential Pressure values:"
15:41:16.253,RX,"-0.05"
15:41:16.254,RX,"Pressure values:"
15:41:16.254,RX,"9882.90"
15:41:16.403,RX,"Differential Pressure values:"
15:41:16.403,RX,"0.24"
15:41:16.404,RX,"Pressure values:"
15:41:16.404,RX,"9882.90"
15:41:16.553,RX,"Differential Pressure values:"
15:41:16.554,RX,"0.04"
15:41:16.554,RX,"Pressure values:"
15:41:16.554,RX,"9882.70"
15:41:16.702,RX,"Differential Pressure values:"
15:41:16.704,RX,"-0.05"
15:41:16.704,RX,"Pressure values:"
15:41:16.704,RX,"9882.90"
15:41:16.853,RX,"Differential Pressure values:"
15:41:16.853,RX,"0.04"
15:41:16.854,RX,"Pressure values:"
15:41:16.854,RX,"9883.00"
15:41:17.003,RX,"Differential Pressure values:"
15:41:17.003,RX,"0.04"
15:41:17.004,RX,"Pressure values:"
15:41:17.004,RX,"9882.80"
15:41:17.153,RX,"Differential Pressure values:"
15:41:17.153,RX,"-0.05"
15:41:17.154,RX,"Pressure values:"
15:41:17.154,RX,"9882.80"
15:41:17.333,RX,"Differential Pressure values:"
15:41:17.334,RX,"-0.05"
15:41:17.334,RX,"Pressure values:"
15:41:17.334,RX,"9883.10"
15:41:17.483,RX,"Differential Pressure values:"
15:41:17.483,RX,"0.04"
15:41:17.484,RX,"Pressure values:"
15:41:17.484,RX,"9883.00"
15:41:17.633,RX,"Differential Pressure values:"
15:41:17.633,RX,"0.24"
15:41:17.634,RX,"Pressure values:"
15:41:17.634,RX,"9882.80"
15:41:17.783,RX,"Differential Pressure values:"
15:41:17.783,RX,"-0.05"
15:41:17.783,RX,"Pressure values:"
15:41:17.784,RX,"9882.90"
15:41:17.932,RX,"Differential Pressure values:"
15:41:17.934,RX,"0.14"
15:41:17.934,RX,"Pressure values:"
15:41:17.934,RX,"9882.90"
15:41:18.083,RX,"Differential Pressure values:"
15:41:18.083,RX,"0.24"
15:41:18.084,RX,"Pressure values:"
15:41:18.084,RX,"9883.00"
15:41:18.233,RX,"Differential Pressure values:"
15:41:18.233,RX,"0.04"
15:41:18.234,RX,"Pressure values:"
15:41:18.234,RX,"9882.80"
15:41:18.383,RX,"Differential Pressure values:"
15:41:18.384,RX,"0.14"
15:41:18.384,RX,"Pressure values:"
15:41:18.384,RX,"9883.00"
15:41:18.533,RX,"Differential Pressure values:"
15:41:18.533,RX,"0.04"
15:41:18.534,RX,"Pressure values:"
15:41:18.534,RX,"9882.90"
15:41:18.683,RX,"Differential Pressure values:"
15:41:18.683,RX,"0.24"
15:41:18.684,RX,"Pressure values:"
15:41:18.684,RX,"9882.70"
15:41:18.833,RX,"Differential Pressure values:"
15:41:18.833,RX,"0.24"
15:41:18.834,RX,"Pressure values:"
15:41:18.834,RX,"9882.90"
15:41:18.983,RX,"Differential Pressure values:"
15:41:18.983,RX,"0.14"
15:41:18.984,RX,"Pressure values:"
15:41:18.984,RX,"9883.20"
15:41:19.133,RX,"Differential Pressure values:"
15:41:19.133,RX,"0.24"
15:41:19.133,RX,"Pressure values:"
15:41:19.134,RX,"9883.10"
15:41:19.283,RX,"Differential Pressure values:"
15:41:19.284,RX,"0.14"
15:41:19.284,RX,"Pressure values:"
15:41:19.284,RX,"9883.10"
15:41:19.434,RX,"Differential Pressure values:"
15:41:19.434,RX,"0.24"
15:41:19.434,RX,"Pressure values:"
15:41:19.434,RX,"9882.90"
15:41:19.583,RX,"Differential Pressure values:"
15:41:19.584,RX,"0.24"
15:41:19.584,RX,"Pressure values:"
15:41:19.584,RX,"9883.10"
15:41:19.733,RX,"Differential Pressure values:"
15:41:19.733,RX,"0.34"
15:41:19.734,RX,"Pressure values:"
15:41:19.734,RX,"9883.20"
15:41:19.882,RX,"Differential Pressure values:"
15:41:19.913,RX,"0.34"
15:41:19.942,RX,"Pressure values:"
15:41:19.944,RX,"9883.10"
15:41:20.063,RX,"Differential Pressure values:"
15:41:20.063,RX,"0.24"
15:41:20.064,RX,"Pressure values:"
15:41:20.064,RX,"9883.20"
15:41:20.214,RX,"Differential Pressure values:"
15:41:20.214,RX,"0.34"
15:41:20.214,RX,"Pressure values:"
15:41:20.214,RX,"9883.20"
15:41:20.363,RX,"Differential Pressure values:"
15:41:20.363,RX,"0.14"
15:41:20.364,RX,"Pressure values:"
15:41:20.364,RX,"9883.10"
15:41:20.543,RX,"Differential Pressure values:"
15:41:20.544,RX,"0.34"
15:41:20.544,RX,"Pressure values:"
15:41:20.544,RX,"9883.00"
15:41:20.693,RX,"Differential Pressure values:"
15:41:20.694,RX,"0.34"
15:41:20.694,RX,"Pressure values:"
15:41:20.725,RX,"9883.30"
15:41:20.843,RX,"Differential Pressure values:"
15:41:20.843,RX,"0.24"
15:41:20.844,RX,"Pressure values:"
15:41:20.844,RX,"9883.20"
15:41:20.993,RX,"Differential Pressure values:"
15:41:20.994,RX,"0.34"
15:41:20.994,RX,"Pressure values:"
15:41:21.022,RX,"9883.20"
15:41:21.143,RX,"Differential Pressure values:"
15:41:21.143,RX,"0.24"
15:41:21.144,RX,"Pressure values:"
15:41:21.144,RX,"9883.20"
