Timestamp,Mode,Data
16:42:49.969,RX,Differential Pressure values:
16:42:49.970,RX,-0.37
16:42:49.970,RX,Pressure values:
16:42:49.970,RX,9837.00
16:42:50.118,RX,Differential Pressure values:
16:42:50.119,RX,-0.27
16:42:50.122,RX,Pressure values:
16:42:50.150,RX,9837.10
16:42:50.268,RX,Differential Pressure values:
16:42:50.270,RX,-0.17
16:42:50.270,RX,Pressure values:
16:42:50.270,RX,9837.20
16:42:50.419,RX,Differential Pressure values:
16:42:50.419,RX,-0.07
16:42:50.420,RX,Pressure values:
16:42:50.447,RX,9837.40
16:42:50.568,RX,Differential Pressure values:
16:42:50.570,RX,-0.17
16:42:50.570,RX,Pressure values:
16:42:50.570,RX,9837.40
16:42:50.719,RX,Differential Pressure values:
16:42:50.719,RX,-0.17
16:42:50.719,RX,Pressure values:
16:42:50.748,RX,9837.40
16:42:50.867,RX,Differential Pressure values:
16:42:50.869,RX,-0.37
16:42:50.869,RX,Pressure values:
16:42:50.870,RX,9837.20
16:42:51.018,RX,Differential Pressure values:
16:42:51.019,RX,-0.07
16:42:51.022,RX,Pressure values:
16:42:51.050,RX,9837.20
16:42:51.167,RX,Differential Pressure values:
16:42:51.168,RX,-0.17
16:42:51.169,RX,Pressure values:
16:42:51.170,RX,9837.40
16:42:51.318,RX,Differential Pressure values:
16:42:51.320,RX,-0.17
16:42:51.320,RX,Pressure values:
16:42:51.349,RX,9837.20
16:42:51.468,RX,Differential Pressure values:
16:42:51.470,RX,-0.17
16:42:51.470,RX,Pressure values:
16:42:51.470,RX,9837.20
16:42:51.618,RX,Differential Pressure values:
16:42:51.620,RX,-0.47
16:42:51.620,RX,Pressure values:
16:42:51.649,RX,9837.30
16:42:51.768,RX,Differential Pressure values:
16:42:51.770,RX,-0.27
16:42:51.770,RX,Pressure values:
16:42:51.770,RX,9837.40
16:42:51.918,RX,Differential Pressure values:
16:42:51.919,RX,-0.27
16:42:51.921,RX,Pressure values:
16:42:51.950,RX,9837.20
16:42:52.067,RX,Differential Pressure values:
16:42:52.068,RX,-0.17
16:42:52.070,RX,Pressure values:
16:42:52.070,RX,9837.40
16:42:52.218,RX,Differential Pressure values:
16:42:52.219,RX,-0.17
16:42:52.219,RX,Pressure values:
16:42:52.250,RX,9837.30
16:42:52.367,RX,Differential Pressure values:
16:42:52.368,RX,-0.07
16:42:52.372,RX,Pressure values:
16:42:52.372,RX,9837.40
16:42:52.518,RX,Differential Pressure values:
16:42:52.520,RX,0.02
16:42:52.520,RX,Pressure values:
16:42:52.549,RX,9837.30
16:42:52.668,RX,Differential Pressure values:
16:42:52.670,RX,-0.27
16:42:52.670,RX,Pressure values:
16:42:52.670,RX,9837.30
16:42:52.819,RX,Differential Pressure values:
16:42:52.819,RX,-0.17
16:42:52.819,RX,Pressure values:
16:42:52.848,RX,9837.40
16:42:52.968,RX,Differential Pressure values:
16:42:52.970,RX,-0.17
16:42:52.970,RX,Pressure values:
16:42:52.970,RX,9837.40
16:42:53.119,RX,Differential Pressure values:
16:42:53.119,RX,-0.17
16:42:53.119,RX,Pressure values:
16:42:53.148,RX,9837.40
16:42:53.267,RX,Differential Pressure values:
16:42:53.268,RX,-0.27
16:42:53.271,RX,Pressure values:
16:42:53.271,RX,9837.30
16:42:53.418,RX,Differential Pressure values:
16:42:53.419,RX,-0.17
16:42:53.419,RX,Pressure values:
16:42:53.449,RX,9837.40
16:42:53.568,RX,Differential Pressure values:
16:42:53.570,RX,-0.17
16:42:53.570,RX,Pressure values:
16:42:53.570,RX,9837.20
16:42:53.718,RX,Differential Pressure values:
16:42:53.720,RX,-0.07
16:42:53.720,RX,Pressure values:
16:42:53.750,RX,9837.30
16:42:53.868,RX,Differential Pressure values:
16:42:53.870,RX,-0.07
16:42:53.870,RX,Pressure values:
16:42:53.870,RX,9837.30
16:42:54.018,RX,Differential Pressure values:
16:42:54.020,RX,0.02
16:42:54.020,RX,Pressure values:
16:42:54.047,RX,9837.60
16:42:54.168,RX,Differential Pressure values:
16:42:54.169,RX,-0.07
16:42:54.172,RX,Pressure values:
16:42:54.172,RX,9837.30
16:42:54.318,RX,Differential Pressure values:
16:42:54.319,RX,-0.27
16:42:54.319,RX,Pressure values:
16:42:54.350,RX,9837.30
16:42:54.468,RX,Differential Pressure values:
16:42:54.470,RX,-0.17
16:42:54.470,RX,Pressure values:
16:42:54.470,RX,9837.50
16:42:54.618,RX,Differential Pressure values:
16:42:54.619,RX,-0.27
16:42:54.622,RX,Pressure values:
16:42:54.648,RX,9837.40
16:42:54.768,RX,Differential Pressure values:
16:42:54.770,RX,-0.27
16:42:54.770,RX,Pressure values:
16:42:54.770,RX,9837.10
16:42:54.919,RX,Differential Pressure values:
16:42:54.920,RX,-0.17
16:42:54.920,RX,Pressure values:
16:42:54.949,RX,9837.50
16:42:55.068,RX,Differential Pressure values:
16:42:55.069,RX,-0.17
16:42:55.072,RX,Pressure values:
16:42:55.072,RX,9837.10
16:42:55.218,RX,Differential Pressure values:
16:42:55.219,RX,-0.07
16:42:55.219,RX,Pressure values:
16:42:55.249,RX,9837.30
16:42:55.369,RX,Differential Pressure values:
16:42:55.369,RX,0.02
16:42:55.370,RX,Pressure values:
16:42:55.370,RX,9837.60
16:42:55.518,RX,Differential Pressure values:
16:42:55.519,RX,-0.17
16:42:55.522,RX,Pressure values:
16:42:55.550,RX,9837.60
16:42:55.667,RX,Differential Pressure values:
16:42:55.669,RX,-0.17
16:42:55.669,RX,Pressure values:
16:42:55.670,RX,9837.40
16:42:55.818,RX,Differential Pressure values:
16:42:55.819,RX,-0.17
16:42:55.819,RX,Pressure values:
16:42:55.849,RX,9837.40
16:42:55.968,RX,Differential Pressure values:
16:42:55.970,RX,-0.07
16:42:55.970,RX,Pressure values:
16:42:55.970,RX,9837.70
