Pressure_Rel,GyroX_Rel,GyroY_Rel,GyroZ_Rel,AccX_Rel,AccY_Rel,AccZ_Rel,Timestamp,Pressure_abs,HeartRate,Oxygen,Status,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
0.32421875,-0.023812508,0.004533344,0.014231256,0.76,-0.19,0.68,12003,10190.3,0,0,0,0.98,0.35,0.91,0.76,-0.19,0.68
-0.67578125,-0.051812507,-0.012466655,0.00023125624,0.76,-0.2,0.69,12017,10189.3,0,0,0,-0.98,-0.84,-0.07,0.76,-0.2,0.69
-0.67578125,-0.07081251,-0.037466656,-0.008768744,0.75,-0.18,0.67,12051,10189.3,0,0,0,-2.31,-2.59,-0.7,0.75,-0.18,0.67
-0.67578125,-0.08981251,-0.043466657,-0.023768744,0.75,-0.18,0.66,12058,10189.3,0,0,0,-3.64,-3.01,-1.75,0.75,-0.18,0.66
0.32421875,-0.076812506,-0.022466656,-0.0017687435,0.74,-0.16,0.65,12078,10190.3,0,0,0,-2.73,-1.54,-0.21,0.74,-0.16,0.65
2.024414,-0.04881251,-0.007466656,0.013231255,0.75,-0.17,0.66,12093,10192,0,0,0,-0.77,-0.49,0.84,0.75,-0.17,0.66
0.32421875,-0.055812508,-0.004466656,0.040231258,0.76,-0.2,0.67,12115,10190.3,0,0,0,-1.26,-0.28,2.73,0.76,-0.2,0.67
-1.6757812,-0.06081251,0.0065333443,0.017231258,0.76,-0.21,0.68,12130,10188.3,0,0,0,-1.61,0.49,1.12,0.76,-0.21,0.68
1.6240234,-0.06281251,-0.025466656,0.017231258,0.77,-0.22,0.68,12160,10191.6,0,0,0,-1.75,-1.75,1.12,0.77,-0.22,0.68
0.024414062,-0.06881251,-0.021466656,-0.006768744,0.76,-0.2,0.67,12168,10190,0,0,0,-2.17,-1.47,-0.56,0.76,-0.2,0.67
2.3242188,-0.06681251,-0.037466656,-0.011768744,0.75,-0.18,0.66,12192,10192.3,0,0,0,-2.03,-2.59,-0.91,0.75,-0.18,0.66
0.32421875,-0.05981251,-0.028466657,0.00023125624,0.74,-0.17,0.65,12205,10190.3,0,0,0,-1.54,-1.96,-0.07,0.74,-0.17,0.65
-0.37597656,-0.033812508,0.001533344,0.016231256,0.75,-0.18,0.66,12220,10189.6,0,0,0,0.28,0.14,1.05,0.75,-0.18,0.66
-0.67578125,-0.015812509,0.004533344,0.016231256,0.76,-0.19,0.7,12243,10189.3,0,0,0,1.54,0.35,1.05,0.76,-0.19,0.7
-0.67578125,-0.03581251,-0.045466658,0.011231256,0.75,-0.18,0.69,12258,10189.3,0,0,0,0.14,-3.15,0.7,0.75,-0.18,0.69
-0.67578125,-0.05481251,-0.055466656,0.015231256,0.74,-0.18,0.66,12280,10189.3,0,0,0,-1.19,-3.85,0.98,0.74,-0.18,0.66
0.32421875,-0.07781251,-0.030466655,0.030231256,0.75,-0.16,0.65,12300,10190.3,0,0,0,-2.8,-2.1,2.03,0.75,-0.16,0.65
0.32421875,-0.10181251,-0.023466656,0.042231254,0.75,-0.18,0.66,12317,10190.3,0,0,0,-4.48,-1.61,2.87,0.75,-0.18,0.66
0.32421875,-0.08781251,-0.029466655,0.04423126,0.75,-0.2,0.66,12332,10190.3,0,0,0,-3.5,-2.03,3.01,0.75,-0.2,0.66
0.32421875,-0.04881251,-0.014466656,0.024231257,0.76,-0.21,0.67,12355,10190.3,0,0,0,-0.77,-0.98,1.61,0.76,-0.21,0.67
0.62402344,-0.03481251,-0.021466656,0.010231256,0.76,-0.21,0.67,12370,10190.6,0,0,0,0.21,-1.47,0.63,0.76,-0.21,0.67
-0.67578125,-0.021812508,-0.016466657,-0.0007687438,0.76,-0.19,0.67,12393,10189.3,0,0,0,1.12,-1.12,-0.14,0.76,-0.19,0.67
0.32421875,-0.014812509,-0.030466655,0.0052312566,0.76,-0.19,0.67,12423,10190.3,0,0,0,1.61,-2.1,0.28,0.76,-0.19,0.67
0.32421875,-0.00081250817,-0.012466655,0.0032312563,0.76,-0.18,0.67,12431,10190.3,0,0,0,2.59,-0.84,0.14,0.76,-0.18,0.67
0.32421875,0.01318749,-0.023466656,0.007231256,0.75,-0.18,0.66,12452,10190.3,0,0,0,3.57,-1.61,0.42,0.75,-0.18,0.66
-0.67578125,-0.04681251,-0.015466656,-0.0017687435,0.75,-0.18,0.67,12476,10189.3,0,0,0,-0.63,-1.05,-0.21,0.75,-0.18,0.67
0.024414062,-0.08181251,-0.016466657,0.004231256,0.75,-0.18,0.68,12501,10190,0,0,0,-3.08,-1.12,0.21,0.75,-0.18,0.68
-0.67578125,-0.083812505,-0.06346666,0.021231256,0.75,-0.18,0.66,12512,10189.3,0,0,0,-3.22,-4.41,1.4,0.75,-0.18,0.66
0.32421875,-0.05781251,-0.042466655,0.021231256,0.75,-0.2,0.64,12528,10190.3,0,0,0,-1.4,-2.94,1.4,0.75,-0.2,0.64
-0.67578125,0.007187493,-0.005466656,0.008231256,0.75,-0.2,0.65,12550,10189.3,0,0,0,3.15,-0.35,0.49,0.75,-0.2,0.65
0.32421875,0.006187491,0.0065333443,0.00023125624,0.76,-0.19,0.68,12566,10190.3,0,0,0,3.08,0.49,-0.07,0.76,-0.19,0.68
0.32421875,-0.06681251,-0.035466656,0.014231256,0.76,-0.2,0.68,12581,10190.3,0,0,0,-2.03,-2.45,0.91,0.76,-0.2,0.68
0.32421875,-0.1088125,-0.040466655,0.015231256,0.76,-0.19,0.67,12595,10190.3,0,0,0,-4.97,-2.8,0.98,0.76,-0.19,0.67
0.32421875,-0.08781251,-0.03146666,0.0032312563,0.75,-0.21,0.66,12610,10190.3,0,0,0,-3.5,-2.17,0.14,0.75,-0.21,0.66
-0.67578125,-0.06481251,-0.020466655,-0.022768741,0.75,-0.19,0.66,12625,10189.3,0,0,0,-1.89,-1.4,-1.68,0.75,-0.19,0.66
1.3242188,-0.033812508,-0.017466657,-0.028768742,0.74,-0.16,0.66,12648,10191.3,0,0,0,0.28,-1.19,-2.1,0.74,-0.16,0.66
0.32421875,-0.023812508,-0.016466657,-0.008768744,0.75,-0.16,0.66,12670,10190.3,0,0,0,0.98,-1.12,-0.7,0.75,-0.16,0.66
0.32421875,-0.051812507,-0.003466656,0.018231258,0.75,-0.17,0.67,12677,10190.3,0,0,0,-0.98,-0.21,1.19,0.75,-0.17,0.67
0.32421875,-0.07581251,-0.0024666563,0.015231256,0.76,-0.18,0.68,12692,10190.3,0,0,0,-2.66,-0.14,0.98,0.76,-0.18,0.68
0.32421875,-0.05681251,-0.024466654,0.021231256,0.77,-0.19,0.69,12707,10190.3,0,0,0,-1.33,-1.68,1.4,0.77,-0.19,0.69
0.62402344,-0.04581251,-0.040466655,0.021231256,0.77,-0.21,0.67,12723,10190.6,0,0,0,-0.56,-2.8,1.4,0.77,-0.21,0.67
