Pressure_Rel,GyroX_Rel,GyroY_Rel,GyroZ_Rel,AccX_Rel,AccY_Rel,AccZ_Rel,Timestamp,Pressure_abs,HeartRate,Oxygen,Status,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3063,10144.90,0,0,0,25.55,24.22,-32.06,0.44,0.22,0.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3078,10144.90,0,0,0,19.39,42.00,-29.33,0.43,0.15,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094,10142.90,0,0,0,27.51,45.01,-32.27,0.42,0.14,0.97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3107,10143.90,0,0,0,42.49,37.45,-36.89,0.42,0.18,1.00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3123,10143.90,0,0,0,57.26,39.06,-36.47,0.41,0.24,1.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146,10143.90,0,0,0,59.22,36.68,-34.16,0.40,0.28,1.13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168,10143.90,0,0,0,52.85,25.41,-24.29,0.43,0.28,1.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3175,10142.90,0,0,0,29.19,5.88,-19.04,0.42,0.24,1.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198,10142.20,0,0,0,-18.06,-22.05,-23.94,0.41,0.25,1.13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3205,10143.50,0,0,0,-31.15,-35.70,-16.59,0.39,0.32,0.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3221,10143.50,0,0,0,-10.99,-15.40,-12.81,0.37,0.28,0.80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3243,10142.50,0,0,0,18.27,9.80,-13.58,0.36,0.29,0.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258,10142.90,0,0,0,44.94,12.04,-13.16,0.36,0.29,0.92
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3273,10142.20,0,0,0,51.24,8.96,-15.96,0.35,0.28,0.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3295,10141.50,0,0,0,36.33,0.14,-17.22,0.34,0.35,0.97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3303,10142.50,0,0,0,20.51,-14.63,-7.35,0.33,0.39,0.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3318,10142.50,0,0,0,0.35,-22.40,-1.68,0.32,0.38,0.90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3340,10142.50,0,0,0,-9.38,-22.96,5.39,0.31,0.37,0.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3356,10140.20,0,0,0,-8.68,-21.49,5.53,0.31,0.34,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3370,10142.20,0,0,0,8.61,-12.18,5.04,0.32,0.33,0.78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3385,10142.20,0,0,0,17.92,-2.87,0.91,0.33,0.32,0.82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401,10141.20,0,0,0,18.20,-0.98,-2.24,0.33,0.36,0.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3423,10140.20,0,0,0,10.29,-7.98,0.70,0.36,0.39,0.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445,10140.80,0,0,0,-2.38,-13.30,5.46,0.35,0.38,0.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3453,10141.20,0,0,0,-9.24,-17.99,8.19,0.35,0.40,0.90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3468,10142.20,0,0,0,-8.33,-18.62,7.42,0.33,0.35,0.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3483,10141.20,0,0,0,-7.98,-16.17,3.78,0.36,0.42,0.83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3498,10141.50,0,0,0,5.53,-8.40,7.21,0.36,0.39,0.83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520,10141.20,0,0,0,2.10,-2.45,2.52,0.38,0.41,0.85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535,10140.80,0,0,0,4.34,-2.10,5.95,0.39,0.43,0.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3551,10141.20,0,0,0,6.58,0.21,7.07,0.39,0.41,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3572,10140.80,0,0,0,7.14,-0.70,5.81,0.39,0.42,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580,10140.80,0,0,0,9.94,-3.85,7.35,0.41,0.43,0.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3596,10140.80,0,0,0,7.42,-2.59,6.30,0.40,0.38,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3610,10139.80,0,0,0,-3.57,-6.58,1.54,0.41,0.43,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633,10140.80,0,0,0,-4.62,-11.55,6.58,0.41,0.43,0.82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3648,10139.80,0,0,0,-3.01,-5.39,7.35,0.39,0.42,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3663,10139.80,0,0,0,-0.49,-1.40,8.19,0.40,0.41,0.78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3678,10140.80,0,0,0,4.06,5.60,9.52,0.42,0.37,0.78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3693,10139.50,0,0,0,6.37,13.93,6.09,0.42,0.37,0.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3707,10140.50,0,0,0,7.63,10.29,5.39,0.44,0.37,0.93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3730,10140.50,0,0,0,-0.42,-1.19,1.75,0.43,0.37,0.92
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3746,10140.50,0,0,0,-2.45,-8.47,3.92,0.43,0.39,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3760,10139.50,0,0,0,-4.34,-6.09,6.44,0.43,0.38,0.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3776,10141.80,0,0,0,-2.45,-1.12,8.68,0.43,0.37,0.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3790,10138.80,0,0,0,-1.40,-0.56,7.07,0.44,0.37,0.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3805,10139.50,0,0,0,5.88,-0.84,6.65,0.44,0.35,0.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3820,10139.50,0,0,0,7.28,-0.63,3.36,0.45,0.33,0.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3836,10140.50,0,0,0,6.79,-1.26,1.61,0.44,0.36,0.89
