Pressure_Rel,GyroX_Rel,GyroY_Rel,GyroZ_Rel,AccX_Rel,AccY_Rel,AccZ_Rel,Timestamp,Pressure_abs,HeartRate,Oxygen,Status,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
0,0,0,0,0,0,0,2240,10028.1,0,0,0,-30.38,-11.76,48.93,0.85,0.54,0.13
0,0,0,0,0,0,0,2246,10026.7,0,0,0,-66.85,-133.14,228.9,0.85,0.54,0.12
0,0,0,0,0,0,0,2262,10026.7,0,0,165,37.17,-71.05,-6.02,0.85,0.52,0.1
0,0,0,0,0,0,0,2276,10027.7,0,0,0,14.07,9.1,-3.43,0.85,0.5,0.09
0,0,0,0,0,0,0,2284,10025.7,0,0,165,15.82,11.2,-2.24,0.86,0.49,0.08
0,0,0,0,0,0,0,2298,10027,0,0,0,9.03,13.93,-3.71,0.86,0.47,0.09
0,0,0,0,0,0,0,2313,10026,0,0,165,3.92,16.31,-7.28,0.86,0.46,0.1
0,0,0,0,0,0,0,2321,10027,0,0,0,1.96,16.31,-11.83,0.87,0.47,0.12
0,0,0,0,0,0,0,2337,10027.7,0,0,165,2.38,15.12,-14.35,0.88,0.52,0.14
0,0,0,0,0,0,0,2351,10027,0,0,0,-0.35,14.28,-12.67,0.88,0.55,0.14
0,0,0,0,0,0,0,2358,10027,0,0,165,-1.96,13.3,-9.03,0.89,0.57,0.14
0,0,0,0,0,0,0,2374,10027,0,0,0,-1.96,11.97,-4.2,0.88,0.57,0.15
0,0,0,0,0,0,0,2389,10027,0,0,165,0,10.29,-1.68,0.88,0.55,0.15
0,0,0,0,0,0,0,2404,10027,0,0,0,1.33,9.17,-0.42,0.87,0.52,0.15
0,0,0,0,0,0,0,2412,10027,0,0,165,0.07,7.98,0.42,0.87,0.51,0.15
0,0,0,0,0,0,0,2427,10027,0,0,0,-2.38,6.65,0.56,0.85,0.49,0.15
0,0,0,0,0,0,0,2434,10027,0,0,165,-5.11,5.18,0.63,0.85,0.47,0.15
0,0,0,0,0,0,0,2449,10026,0,0,0,-7,3.64,-0.42,0.86,0.47,0.14
0,0,0,0,0,0,0,2463,10027,0,0,165,-9.24,3.29,-0.91,0.86,0.47,0.15
0,0,0,0,0,0,0,2471,10026,0,0,0,-9.38,2.31,-1.89,0.86,0.47,0.16
0,0,0,0,0,0,0,2487,10027,0,0,165,-9.52,1.82,-1.96,0.87,0.49,0.17
0,0,0,0,0,0,0,2501,10026,0,0,0,-10.78,1.33,-1.68,0.88,0.5,0.18
0,0,0,0,0,0,0,2508,10027,0,0,165,-12.32,0.56,-0.77,0.89,0.5,0.18
0,0,0,0,0,0,0,2524,10027,0,0,0,-10.22,-0.21,-0.21,0.9,0.48,0.18
0,0,0,0,0,0,0,2539,10026,0,0,165,-6.65,0,-0.77,0.89,0.47,0.18
0,0,0,0,0,0,0,2546,10027,0,0,0,-6.79,1.33,-2.66,0.9,0.48,0.19
0,0,0,0,0,0,0,2561,10026,0,0,165,-12.18,2.8,-4.9,0.9,0.51,0.22
0,0,0,0,0,0,0,2576,10027,0,0,0,-19.53,2.73,-8.26,0.9,0.55,0.25
0,0,0,0,0,0,0,2594,10027.4,0,0,165,-27.79,-0.63,-10.08,0.9,0.59,0.28
0,0,0,0,0,0,0,2600,10027,0,0,0,-31.08,-5.39,-10.22,0.89,0.63,0.29
0,0,0,0,0,0,0,2613,10027,0,0,165,-32.55,-9.8,-6.37,0.88,0.67,0.3
0,0,0,0,0,0,0,2621,10027,0,0,0,-30.52,-17.78,3.15,0.86,0.68,0.29
0,0,0,0,0,0,0,2636,10027,0,0,165,-20.3,-25.41,15.12,0.84,0.61,0.25
0,0,0,0,0,0,0,2650,10027.4,0,0,0,-5.04,-30.87,25.06,0.82,0.56,0.21
0,0,0,0,0,0,0,2658,10026,0,0,165,4.27,-31.85,29.05,0.82,0.5,0.18
0,0,0,0,0,0,0,2673,10027,0,0,0,4.69,-31.71,29.54,0.81,0.46,0.15
0,0,0,0,0,0,0,2688,10027,0,0,165,-1.47,-31.71,28.77,0.81,0.43,0.13
0,0,0,0,0,0,0,2695,10026.4,0,0,0,-6.23,-30.59,23.87,0.82,0.4,0.11
0,0,0,0,0,0,0,2711,10026,0,0,165,-5.95,-28.35,16.52,0.82,0.4,0.08
0,0,0,0,0,0,0,2726,10026,0,0,0,-3.57,-21.14,9.1,0.84,0.45,0.07
0,0,0,0,0,0,0,2733,10027.4,0,0,165,-2.66,-14.77,3.78,0.86,0.48,0.09
0,0,0,0,0,0,0,2748,10027,0,0,0,-2.31,-9.59,3.22,0.87,0.51,0.11
0,0,0,0,0,0,0,2763,10027,0,0,165,-2.45,-6.72,4.41,0.87,0.52,0.12
0,0,0,0,0,0,0,2771,10026,0,0,0,-2.17,-4.62,3.71,0.87,0.53,0.15
0,0,0,0,0,0,0,2786,10027,0,0,165,-5.95,-3.71,3.43,0.87,0.55,0.16
0,0,0,0,0,0,0,2801,10027,0,0,0,-8.47,-2.31,2.73,0.87,0.55,0.16
0,0,0,0,0,0,0,2809,10026.4,0,0,165,-9.66,-1.26,3.08,0.86,0.57,0.16
0,0,0,0,0,0,0,2823,10027.4,0,0,0,-9.24,0.42,5.95,0.86,0.57,0.16
0,0,0,0,0,0,0,2838,10027,0,0,165,-5.6,0.91,9.38,0.85,0.55,0.16
0,0,0,0,0,0,0,2846,10028.1,0,0,0,0.28,2.66,11.9,0.83,0.52,0.16
0,0,0,0,0,0,0,2863,10026.4,0,0,165,4.2,4.83,12.04,0.82,0.5,0.17
0,0,0,0,0,0,0,2875,10026.4,0,0,0,3.29,6.23,10.85,0.82,0.47,0.17
0,0,0,0,0,0,0,2883,10027,0,0,165,-0.21,6.93,8.19,0.82,0.46,0.18
0,0,0,0,0,0,0,2898,10027,0,0,0,-9.17,7.84,5.11,0.83,0.48,0.18
0,0,0,0,0,0,0,2913,10027.4,0,0,165,-14.49,7.84,2.94,0.82,0.47,0.18
0,0,0,0,0,0,0,2921,10025,0,0,0,-11.55,6.16,1.19,0.84,0.47,0.17
0,0,0,0,0,0,0,2936,10027,0,0,165,-7.42,4.2,0,0.85,0.47,0.16
0,0,0,0,0,0,0,2951,10027.4,0,0,0,-6.79,2.52,-0.49,0.87,0.49,0.15
0,0,0,0,0,0,0,2966,10027.4,0,0,165,-10.15,2.52,-0.07,0.87,0.48,0.13
0,0,0,0,0,0,0,2973,10027.4,0,0,0,-11.69,3.36,0.35,0.87,0.47,0.13
0,0,0,0,0,0,0,2993,10026.4,0,0,165,-10.08,4.97,-0.07,0.87,0.47,0.14
0,0,0,0,0,0,0,2995,10027.4,0,0,0,-6.72,6.16,-0.63,0.87,0.47,0.15
0,0,0,0,0,0,0,3011,10027.4,0,0,165,-4.34,6.37,0.07,0.87,0.47,0.16
0,0,0,0,0,0,0,3026,10027.4,0,0,0,-5.81,7.42,1.05,0.88,0.48,0.16
0,0,0,0,0,0,0,3033,10027.4,0,0,165,-10.99,7.21,3.71,0.88,0.48,0.18
0,0,0,0,0,0,0,3049,10027.4,0,0,0,-12.74,7.42,4.06,0.87,0.45,0.17
0,0,0,0,0,0,0,3065,10027.4,0,0,165,-10.01,7.63,1.82,0.87,0.45,0.18
0,0,0,0,0,0,0,3071,10027.4,0,0,0,-9.52,8.54,0.14,0.88,0.47,0.19
0,0,0,0,0,0,0,3086,10026.4,0,0,165,-11.97,8.12,-0.21,0.87,0.47,0.21
0,0,0,0,0,0,0,3100,10027.4,0,0,0,-13.86,7.84,0.28,0.87,0.47,0.22
0,0,0,0,0,0,0,3108,10027.4,0,0,165,-11.76,6.79,0.42,0.86,0.45,0.23
0,0,0,0,0,0,0,3124,10028.4,0,0,0,-7.63,5.6,0,0.86,0.45,0.23
0,0,0,0,0,0,0,3138,10027.4,0,0,165,-5.53,4.69,-0.28,0.86,0.44,0.24
0,0,0,0,0,0,0,3146,10027.4,0,0,0,-5.18,3.5,-0.77,0.86,0.45,0.24
0,0,0,0,0,0,0,3160,10026.4,0,0,165,-5.88,2.59,-1.12,0.86,0.45,0.24
0,0,0,0,0,0,0,3176,10027.4,0,0,0,-5.6,1.96,-2.17,0.85,0.45,0.24
0,0,0,0,0,0,0,3184,10026.4,0,0,165,-4.2,2.03,-3.78,0.85,0.45,0.24
0,0,0,0,0,0,0,3199,10026.4,0,0,0,-2.94,2.24,-4.55,0.85,0.47,0.25
0,0,0,0,0,0,0,3213,10027.4,0,0,165,-1.89,1.54,-3.99,0.86,0.48,0.25
0,0,0,0,0,0,0,3221,10026.4,0,0,0,-0.84,-0.14,-2.31,0.86,0.48,0.25
0,0,0,0,0,0,0,3236,10027.4,0,0,165,-0.42,-1.82,0.49,0.86,0.48,0.25
0,0,0,0,0,0,0,3251,10027.4,0,0,0,1.47,-3.85,3.5,0.85,0.47,0.23
0,0,0,0,0,0,0,3258,10027.4,0,0,165,4.48,-4.27,4.41,0.86,0.45,0.21
0,0,0,0,0,0,0,3273,10027.4,0,0,0,7.42,-3.08,3.29,0.86,0.44,0.21
0,0,0,0,0,0,0,3288,10027.4,0,0,165,6.3,-2.24,2.45,0.86,0.44,0.21
0,0,0,0,0,0,0,3296,10028.4,0,0,0,2.94,-1.54,1.4,0.86,0.43,0.2
0,0,0,0,0,0,0,3311,10027.4,0,0,165,0.7,-1.05,-0.14,0.86,0.44,0.21
0,0,0,0,0,0,0,3326,10026.4,0,0,0,0.7,-0.7,-2.17,0.86,0.44,0.21
0,0,0,0,0,0,0,3341,10027.4,0,0,165,1.54,-0.07,-2.87,0.86,0.45,0.21
0,0,0,0,0,0,0,3348,10027.4,0,0,0,2.03,0.49,-3.01,0.86,0.45,0.22
0,0,0,0,0,0,0,3363,10028.4,0,0,165,0.77,1.54,-3.22,0.86,0.45,0.22
0,0,0,0,0,0,0,3371,10027.4,0,0,0,-1.33,3.01,-3.64,0.86,0.46,0.23
0,0,0,0,0,0,0,3385,10027,0,0,165,-1.75,2.94,-4.2,0.86,0.46,0.24
0,0,0,0,0,0,0,3401,10028.4,0,0,0,-2.52,2.66,-4.69,0.86,0.47,0.25
0,0,0,0,0,0,0,3409,10026.4,0,0,165,-4.9,1.68,-4.06,0.87,0.48,0.25
0,0,0,0,0,0,0,3424,10027.4,0,0,0,-6.09,-0.07,-2.94,0.87,0.46,0.24
0,0,0,0,0,0,0,3438,10027.4,0,0,165,-3.15,-1.68,-3.08,0.87,0.46,0.23
0,0,0,0,0,0,0,3446,10026.4,0,0,0,-1.47,-1.26,-3.85,0.87,0.47,0.22
0,0,0,0,0,0,0,3461,10027.4,0,0,165,-3.08,1.19,-4.06,0.88,0.48,0.22
0,0,0,0,0,0,0,3478,10027.4,0,0,0,-5.32,3.43,-3.71,0.87,0.48,0.22
0,0,0,0,0,0,0,3483,10027.7,0,0,165,-4.55,4.48,-3.08,0.87,0.47,0.23
0,0,0,0,0,0,0,3499,10028.4,0,0,0,-2.94,7.63,-2.45,0.85,0.48,0.22
0,0,0,0,0,0,0,3513,10027.4,0,0,165,-6.16,11.34,-0.49,0.86,0.49,0.23
0,0,0,0,0,0,0,3521,10027.7,0,0,0,-9.8,13.16,1.75,0.85,0.46,0.24
0,0,0,0,0,0,0,3536,10026.4,0,0,165,-8.4,14.21,3.22,0.84,0.45,0.25
0,0,0,0,0,0,0,3552,10027.4,0,0,0,-6.72,14.35,5.32,0.84,0.45,0.26
0,0,0,0,0,0,0,3558,10026.4,0,0,165,-4.97,13.16,7.35,0.83,0.41,0.27
0,0,0,0,0,0,0,3573,10027.4,0,0,0,-1.33,12.18,6.3,0.82,0.38,0.27
0,0,0,0,0,0,0,3588,10027.4,0,0,165,1.75,11.76,2.73,0.83,0.38,0.29
0,0,0,0,0,0,0,3596,10027.4,0,0,0,0,9.87,-1.75,0.84,0.38,0.3
0,0,0,0,0,0,0,3611,10027.4,0,0,165,-4.06,6.72,-5.39,0.84,0.38,0.32
0,0,0,0,0,0,0,3626,10027.4,0,0,0,-2.66,3.5,-11.06,0.85,0.4,0.33
0,0,0,0,0,0,0,3633,10026.4,0,0,165,-1.61,1.12,-15.89,0.86,0.45,0.34
0,0,0,0,0,0,0,3649,10026.4,0,0,0,-3.64,-1.26,-15.68,0.86,0.49,0.36
0,0,0,0,0,0,0,3663,10027.4,0,0,165,-2.66,-5.81,-12.74,0.86,0.5,0.36
0,0,0,0,0,0,0,3672,10027.4,0,0,0,2.73,-11.34,-10.15,0.87,0.51,0.34
0,0,0,0,0,0,0,3685,10028.4,0,0,165,7.56,-15.19,-7.56,0.88,0.54,0.32
0,0,0,0,0,0,0,3701,10027.4,0,0,0,7.84,-18.62,-3.78,0.88,0.54,0.28
0,0,0,0,0,0,0,3711,10026.4,0,0,165,7.77,-19.74,-1.4,0.89,0.53,0.25
0,0,0,0,0,0,0,3728,10027.4,0,0,0,8.54,-18.9,-0.56,0.89,0.52,0.22
0,0,0,0,0,0,0,3738,10027.7,0,0,165,8.54,-17.64,-0.14,0.89,0.52,0.21
0,0,0,0,0,0,0,3746,10027.4,0,0,0,5.6,-16.31,1.4,0.89,0.52,0.2
0,0,0,0,0,0,0,3761,10028.4,0,0,165,1.89,-14.56,3.71,0.88,0.52,0.18
0,0,0,0,0,0,0,3776,10027.4,0,0,0,-0.28,-12.39,4.69,0.86,0.49,0.17
0,0,0,0,0,0,0,3783,10027.4,0,0,165,0.84,-9.94,4.06,0.86,0.48,0.17
0,0,0,0,0,0,0,3799,10027.4,0,0,0,0,-8.33,3.78,0.85,0.49,0.18
0,0,0,0,0,0,0,3813,10028.4,0,0,165,-2.87,-7.49,4.69,0.85,0.47,0.17
0,0,0,0,0,0,0,3821,10028.7,0,0,0,-2.66,-6.37,4.2,0.84,0.44,0.16
0,0,0,0,0,0,0,3836,10027.4,0,0,165,-2.52,-4.41,3.22,0.84,0.44,0.15
