Timestamp,Mode,Data
15:16:03.427,RX,Pressure values:
15:16:03.427,RX,-0.09
15:16:03.546,RX,Pressure values:
15:16:03.548,RX,-0.19
15:16:03.666,RX,Pressure values:
15:16:03.667,RX,-0.09
15:16:03.785,RX,Pressure values:
15:16:03.787,RX,-0.19
15:16:03.906,RX,Pressure values:
15:16:03.907,RX,0.00
15:16:04.026,RX,Pressure values:
15:16:04.028,RX,-0.19
15:16:04.146,RX,Pressure values:
15:16:04.147,RX,0.10
15:16:04.266,RX,Pressure values:
15:16:04.267,RX,-0.29
15:16:04.386,RX,Pressure values:
15:16:04.387,RX,0.00
15:16:04.506,RX,Pressure values:
15:16:04.507,RX,0.00
15:16:04.626,RX,Pressure values:
15:16:04.628,RX,-0.09
15:16:04.746,RX,Pressure values:
15:16:04.747,RX,-0.19
15:16:04.867,RX,Pressure values:
15:16:04.868,RX,-0.09
15:16:04.986,RX,Pressure values:
15:16:04.988,RX,-0.09
15:16:05.108,RX,Pressure values:
15:16:05.108,RX,-0.39
15:16:05.227,RX,Pressure values:
15:16:05.227,RX,-0.09
15:16:05.346,RX,Pressure values:
15:16:05.349,RX,-0.29
15:16:05.478,RX,Pressure values:
15:16:05.479,RX,-0.29
15:16:05.586,RX,Pressure values:
15:16:05.587,RX,-0.19
15:16:05.707,RX,Pressure values:
15:16:05.708,RX,-0.29
15:16:05.827,RX,Pressure values:
15:16:05.828,RX,-0.19
15:16:05.947,RX,Pressure values:
15:16:05.947,RX,-0.19
15:16:06.066,RX,Pressure values:
15:16:06.068,RX,-0.29
15:16:06.186,RX,Pressure values:
15:16:06.186,RX,-0.19
15:16:06.306,RX,Pressure values:
15:16:06.307,RX,-0.09
15:16:06.427,RX,Pressure values:
15:16:06.428,RX,-0.29
15:16:06.547,RX,Pressure values:
15:16:06.547,RX,-0.09
15:16:06.666,RX,Pressure values:
15:16:06.668,RX,-0.19
15:16:06.788,RX,Pressure values:
15:16:06.788,RX,-0.29
15:16:06.907,RX,Pressure values:
15:16:06.907,RX,-0.09
15:16:07.027,RX,Pressure values:
15:16:07.027,RX,-0.19
15:16:07.147,RX,Pressure values:
15:16:07.148,RX,-0.19
15:16:07.266,RX,Pressure values:
15:16:07.266,RX,-0.19
15:16:07.385,RX,Pressure values:
15:16:07.386,RX,-0.09
15:16:07.508,RX,Pressure values:
15:16:07.508,RX,-0.29
15:16:07.627,RX,Pressure values:
15:16:07.628,RX,-0.29
15:16:07.746,RX,Pressure values:
15:16:07.747,RX,-0.09
15:16:07.866,RX,Pressure values:
15:16:07.866,RX,-0.09
15:16:07.986,RX,Pressure values:
15:16:07.987,RX,-0.09
15:16:08.108,RX,Pressure values:
15:16:08.109,RX,-0.09
15:16:08.227,RX,Pressure values:
15:16:08.227,RX,-0.19
15:16:08.347,RX,Pressure values:
15:16:08.347,RX,0.00
15:16:08.466,RX,Pressure values:
15:16:08.466,RX,0.00
15:16:08.586,RX,Pressure values:
15:16:08.588,RX,-0.29
15:16:08.708,RX,Pressure values:
15:16:08.708,RX,-0.39
15:16:08.826,RX,Pressure values:
15:16:08.829,RX,-0.09
15:16:08.946,RX,Pressure values:
15:16:08.948,RX,-0.09
15:16:09.066,RX,Pressure values:
15:16:09.067,RX,-0.09
15:16:09.186,RX,Pressure values:
15:16:09.187,RX,-0.09
15:16:09.308,RX,Pressure values:
15:16:09.308,RX,-0.29
15:16:09.427,RX,Pressure values:
15:16:09.428,RX,-0.19
15:16:09.547,RX,Pressure values:
15:16:09.547,RX,0.00
15:16:09.636,RX,Pressure values:
15:16:09.666,RX,-0.19
15:16:09.788,RX,Pressure values:
15:16:09.789,RX,-0.19
15:16:09.908,RX,Pressure values:
15:16:09.908,RX,-0.19
15:16:10.027,RX,Pressure values:
15:16:10.027,RX,-0.19
15:16:10.146,RX,Pressure values:
15:16:10.147,RX,-0.09
15:16:10.265,RX,Pressure values:
15:16:10.266,RX,-0.29
15:16:10.386,RX,Pressure values:
15:16:10.388,RX,0.00
15:16:10.507,RX,Pressure values:
15:16:10.507,RX,-0.19
15:16:10.627,RX,Pressure values:
15:16:10.628,RX,-0.29
15:16:10.746,RX,Pressure values:
15:16:10.748,RX,0.00
15:16:10.865,RX,Pressure values:
15:16:10.866,RX,-0.19
15:16:10.987,RX,Pressure values:
15:16:10.987,RX,-0.29
15:16:11.106,RX,Pressure values:
15:16:11.107,RX,-0.09
15:16:11.227,RX,Pressure values:
15:16:11.228,RX,-0.39
15:16:11.345,RX,Pressure values:
15:16:11.346,RX,-0.19
15:16:11.466,RX,Pressure values:
15:16:11.468,RX,-0.19
15:16:11.586,RX,Pressure values:
15:16:11.586,RX,-0.29
15:16:11.708,RX,Pressure values:
15:16:11.709,RX,-0.29
15:16:11.827,RX,Pressure values:
15:16:11.828,RX,-0.29
15:16:11.947,RX,Pressure values:
15:16:11.947,RX,-0.09
15:16:12.066,RX,Pressure values:
15:16:12.067,RX,-0.19
15:16:12.187,RX,Pressure values:
15:16:12.188,RX,0.10
15:16:12.306,RX,Pressure values:
15:16:12.306,RX,-0.09
15:16:12.427,RX,Pressure values:
15:16:12.428,RX,-0.79
15:16:12.546,RX,Pressure values:
15:16:12.548,RX,-0.69
15:16:12.667,RX,Pressure values:
15:16:12.667,RX,-0.50
15:16:12.757,RX,Pressure values:
15:16:12.785,RX,-0.39
15:16:12.908,RX,Pressure values:
15:16:12.911,RX,-0.50
15:16:13.027,RX,Pressure values:
15:16:13.028,RX,-0.19
15:16:13.146,RX,Pressure values:
15:16:13.147,RX,-0.39
15:16:13.266,RX,Pressure values:
15:16:13.267,RX,-0.39
15:16:13.386,RX,Pressure values:
15:16:13.387,RX,-0.50
15:16:13.507,RX,Pressure values:
15:16:13.507,RX,-0.29
15:16:13.627,RX,Pressure values:
15:16:13.627,RX,-0.39
15:16:13.747,RX,Pressure values:
15:16:13.749,RX,-0.19
15:16:13.866,RX,Pressure values:
15:16:13.867,RX,-0.50
15:16:13.986,RX,Pressure values:
15:16:13.987,RX,-0.39
15:16:14.108,RX,Pressure values:
15:16:14.109,RX,-0.59
15:16:14.227,RX,Pressure values:
15:16:14.228,RX,-0.50
15:16:14.346,RX,Pressure values:
15:16:14.347,RX,-0.19
15:16:14.465,RX,Pressure values:
15:16:14.466,RX,-0.29
15:16:14.586,RX,Pressure values:
15:16:14.588,RX,-0.09
15:16:14.706,RX,Pressure values:
15:16:14.707,RX,-0.29
15:16:14.827,RX,Pressure values:
15:16:14.828,RX,-0.29
15:16:14.947,RX,Pressure values:
15:16:14.947,RX,-0.59
15:16:15.067,RX,Pressure values:
15:16:15.067,RX,-0.69
15:16:15.186,RX,Pressure values:
15:16:15.187,RX,-0.69
15:16:15.306,RX,Pressure values:
15:16:15.308,RX,-0.89
15:16:15.427,RX,Pressure values:
15:16:15.429,RX,-1.09
15:16:15.578,RX,Pressure values:
15:16:15.578,RX,-1.09
15:16:15.667,RX,Pressure values:
15:16:15.667,RX,-0.29
15:16:15.785,RX,Pressure values:
15:16:15.786,RX,-0.69
15:16:15.877,RX,Pressure values:
15:16:15.908,RX,-1.00
15:16:16.027,RX,Pressure values:
15:16:16.028,RX,-0.89
15:16:16.146,RX,Pressure values:
15:16:16.148,RX,-1.09
15:16:16.267,RX,Pressure values:
15:16:16.267,RX,-1.09
15:16:16.385,RX,Pressure values:
15:16:16.387,RX,-1.09
15:16:16.509,RX,Pressure values:
15:16:16.509,RX,-0.79
15:16:16.627,RX,Pressure values:
15:16:16.628,RX,-0.79
15:16:16.746,RX,Pressure values:
15:16:16.746,RX,-1.00
15:16:16.866,RX,Pressure values:
15:16:16.867,RX,-1.09
15:16:16.986,RX,Pressure values:
15:16:16.987,RX,-1.09
15:16:17.108,RX,Pressure values:
15:16:17.108,RX,-1.09
15:16:17.228,RX,Pressure values:
15:16:17.228,RX,-1.29
15:16:17.346,RX,Pressure values:
15:16:17.346,RX,-1.09
15:16:17.467,RX,Pressure values:
15:16:17.467,RX,-1.29
15:16:17.585,RX,Pressure values:
15:16:17.586,RX,-1.09
15:16:17.707,RX,Pressure values:
15:16:17.708,RX,-0.89
15:16:17.827,RX,Pressure values:
15:16:17.828,RX,-1.09
15:16:17.947,RX,Pressure values:
15:16:17.948,RX,-0.89
15:16:18.066,RX,Pressure values:
15:16:18.095,RX,-1.09
15:16:18.186,RX,Pressure values:
15:16:18.188,RX,-1.19
15:16:18.308,RX,Pressure values:
15:16:18.308,RX,-0.69
15:16:18.425,RX,Pressure values:
15:16:18.426,RX,-1.29
15:16:18.547,RX,Pressure values:
15:16:18.548,RX,-1.19
15:16:18.667,RX,Pressure values:
15:16:18.668,RX,-0.89
15:16:18.787,RX,Pressure values:
15:16:18.787,RX,-0.79
15:16:18.907,RX,Pressure values:
15:16:18.907,RX,-0.79
15:16:19.027,RX,Pressure values:
15:16:19.028,RX,-0.69
15:16:19.147,RX,Pressure values:
15:16:19.147,RX,-0.50
15:16:19.267,RX,Pressure values:
15:16:19.267,RX,-0.19
15:16:19.389,RX,Pressure values:
15:16:19.390,RX,-0.50
15:16:19.506,RX,Pressure values:
15:16:19.507,RX,-0.50
15:16:19.627,RX,Pressure values:
15:16:19.628,RX,-0.69
15:16:19.746,RX,Pressure values:
15:16:19.748,RX,-0.79
15:16:19.867,RX,Pressure values:
15:16:19.867,RX,-0.59
15:16:19.986,RX,Pressure values:
15:16:19.987,RX,-0.69
15:16:20.107,RX,Pressure values:
15:16:20.110,RX,-1.50
15:16:20.227,RX,Pressure values:
15:16:20.228,RX,-1.59
15:16:20.346,RX,Pressure values:
15:16:20.348,RX,-1.09
15:16:20.466,RX,Pressure values:
15:16:20.468,RX,-1.29
15:16:20.586,RX,Pressure values:
15:16:20.588,RX,-1.39
15:16:20.707,RX,Pressure values:
15:16:20.708,RX,-1.29
15:16:20.825,RX,Pressure values:
15:16:20.826,RX,-1.39
15:16:20.946,RX,Pressure values:
15:16:20.947,RX,-1.19
15:16:21.066,RX,Pressure values:
15:16:21.067,RX,-1.29
15:16:21.187,RX,Pressure values:
15:16:21.189,RX,-1.29
15:16:21.308,RX,Pressure values:
15:16:21.309,RX,-1.59
15:16:21.425,RX,Pressure values:
15:16:21.426,RX,-1.29
15:16:21.546,RX,Pressure values:
15:16:21.548,RX,-1.29
15:16:21.666,RX,Pressure values:
15:16:21.667,RX,-1.29
15:16:21.786,RX,Pressure values:
15:16:21.788,RX,-1.39
15:16:21.906,RX,Pressure values:
15:16:21.918,RX,-1.29
15:16:22.056,RX,Pressure values:
15:16:22.057,RX,-1.29
15:16:22.147,RX,Pressure values:
15:16:22.147,RX,-1.39
15:16:22.266,RX,Pressure values:
15:16:22.268,RX,-1.39
15:16:22.386,RX,Pressure values:
15:16:22.388,RX,-1.39
15:16:22.506,RX,Pressure values:
15:16:22.507,RX,-1.09
15:16:22.627,RX,Pressure values:
15:16:22.628,RX,-1.29
15:16:22.747,RX,Pressure values:
15:16:22.749,RX,-1.19
15:16:22.867,RX,Pressure values:
15:16:22.867,RX,-1.19
15:16:22.986,RX,Pressure values:
15:16:22.988,RX,-1.19
15:16:23.106,RX,Pressure values:
15:16:23.107,RX,-1.39
15:16:23.226,RX,Pressure values:
15:16:23.228,RX,-1.29
15:16:23.347,RX,Pressure values:
15:16:23.348,RX,-1.19
15:16:23.467,RX,Pressure values:
15:16:23.467,RX,-1.19
15:16:23.586,RX,Pressure values:
15:16:23.589,RX,-1.29
15:16:23.707,RX,Pressure values:
15:16:23.710,RX,-1.09
15:16:23.827,RX,Pressure values:
15:16:23.829,RX,-1.19
15:16:23.946,RX,Pressure values:
15:16:23.947,RX,-1.29
15:16:24.067,RX,Pressure values:
15:16:24.068,RX,-1.19
15:16:24.186,RX,Pressure values:
15:16:24.188,RX,-1.29
15:16:24.306,RX,Pressure values:
15:16:24.308,RX,-1.19
15:16:24.427,RX,Pressure values:
15:16:24.431,RX,-1.29
15:16:24.546,RX,Pressure values:
15:16:24.546,RX,-1.39
15:16:24.666,RX,Pressure values:
15:16:24.668,RX,-1.09
15:16:24.786,RX,Pressure values:
15:16:24.787,RX,-1.19
15:16:24.906,RX,Pressure values:
15:16:24.908,RX,-1.29
15:16:25.027,RX,Pressure values:
15:16:25.028,RX,-1.29
15:16:25.147,RX,Pressure values:
15:16:25.148,RX,-1.00
15:16:25.266,RX,Pressure values:
15:16:25.268,RX,-1.19
15:16:25.387,RX,Pressure values:
15:16:25.389,RX,-1.00
15:16:25.506,RX,Pressure values:
15:16:25.507,RX,-0.89
15:16:25.627,RX,Pressure values:
15:16:25.628,RX,-1.39
15:16:25.747,RX,Pressure values:
15:16:25.747,RX,-1.39
15:16:25.866,RX,Pressure values:
15:16:25.867,RX,-1.29
15:16:25.988,RX,Pressure values:
15:16:25.988,RX,-1.19
15:16:26.107,RX,Pressure values:
15:16:26.107,RX,-1.39
15:16:26.226,RX,Pressure values:
15:16:26.227,RX,-1.19
15:16:26.347,RX,Pressure values:
15:16:26.347,RX,-1.00
15:16:26.466,RX,Pressure values:
15:16:26.468,RX,-1.39
15:16:26.586,RX,Pressure values:
15:16:26.588,RX,-1.39
15:16:26.706,RX,Pressure values:
15:16:26.708,RX,-1.19
15:16:26.856,RX,Pressure values:
15:16:26.858,RX,-1.29
15:16:26.947,RX,Pressure values:
15:16:26.949,RX,-1.09
15:16:27.066,RX,Pressure values:
15:16:27.068,RX,-1.09
15:16:27.186,RX,Pressure values:
15:16:27.216,RX,-1.09
15:16:27.306,RX,Pressure values:
15:16:27.307,RX,-1.39
15:16:27.427,RX,Pressure values:
15:16:27.428,RX,-1.29
15:16:27.546,RX,Pressure values:
15:16:27.546,RX,-1.19
15:16:27.667,RX,Pressure values:
15:16:27.668,RX,-1.19
15:16:27.786,RX,Pressure values:
15:16:27.788,RX,-1.39
15:16:27.906,RX,Pressure values:
15:16:27.907,RX,-1.50
15:16:28.027,RX,Pressure values:
15:16:28.028,RX,-1.50
15:16:28.146,RX,Pressure values:
15:16:28.147,RX,-1.09
15:16:28.266,RX,Pressure values:
15:16:28.268,RX,-1.39
15:16:28.386,RX,Pressure values:
15:16:28.388,RX,-1.29
15:16:28.507,RX,Pressure values:
15:16:28.508,RX,-1.19
15:16:28.626,RX,Pressure values:
15:16:28.627,RX,-1.29
15:16:28.746,RX,Pressure values:
15:16:28.747,RX,-1.19
15:16:28.867,RX,Pressure values:
15:16:28.867,RX,-1.29
15:16:28.986,RX,Pressure values:
15:16:28.988,RX,-1.39
15:16:29.107,RX,Pressure values:
15:16:29.108,RX,-1.19
15:16:29.227,RX,Pressure values:
15:16:29.228,RX,-1.19
15:16:29.346,RX,Pressure values:
15:16:29.346,RX,-1.39
15:16:29.466,RX,Pressure values:
15:16:29.468,RX,-1.39
15:16:29.588,RX,Pressure values:
15:16:29.588,RX,-1.19
15:16:29.707,RX,Pressure values:
15:16:29.707,RX,-1.19
15:16:29.827,RX,Pressure values:
15:16:29.828,RX,-1.39
15:16:29.946,RX,Pressure values:
15:16:29.948,RX,-1.19
15:16:30.066,RX,Pressure values:
15:16:30.068,RX,-1.19
15:16:30.186,RX,Pressure values:
15:16:30.188,RX,-1.09
15:16:30.307,RX,Pressure values:
15:16:30.307,RX,-1.29
15:16:30.427,RX,Pressure values:
15:16:30.428,RX,-1.19
15:16:30.546,RX,Pressure values:
15:16:30.547,RX,-1.19
15:16:30.667,RX,Pressure values:
15:16:30.667,RX,-1.19
15:16:30.788,RX,Pressure values:
15:16:30.788,RX,-1.00
15:16:30.938,RX,Pressure values:
15:16:30.938,RX,-1.29
15:16:31.027,RX,Pressure values:
15:16:31.028,RX,-1.09
15:16:31.175,RX,Pressure values:
15:16:31.175,RX,-1.29
15:16:31.267,RX,Pressure values:
15:16:31.267,RX,-1.09
15:16:31.386,RX,Pressure values:
15:16:31.388,RX,-1.00
15:16:31.506,RX,Pressure values:
15:16:31.508,RX,-1.19
15:16:31.626,RX,Pressure values:
15:16:31.627,RX,-1.29
15:16:31.747,RX,Pressure values:
15:16:31.747,RX,-1.00
15:16:31.868,RX,Pressure values:
15:16:31.868,RX,-1.50
15:16:31.986,RX,Pressure values:
15:16:31.988,RX,-1.29
15:16:32.107,RX,Pressure values:
15:16:32.107,RX,-1.29
15:16:32.227,RX,Pressure values:
15:16:32.228,RX,-1.19
15:16:32.346,RX,Pressure values:
15:16:32.349,RX,-1.39
15:16:32.467,RX,Pressure values:
15:16:32.468,RX,-1.29
15:16:32.586,RX,Pressure values:
15:16:32.588,RX,-1.00
15:16:32.706,RX,Pressure values:
15:16:32.707,RX,-1.09
15:16:32.827,RX,Pressure values:
15:16:32.828,RX,-1.19
15:16:32.947,RX,Pressure values:
15:16:32.947,RX,-1.29
15:16:33.067,RX,Pressure values:
15:16:33.068,RX,-1.00
15:16:33.186,RX,Pressure values:
15:16:33.188,RX,-1.09
15:16:33.306,RX,Pressure values:
15:16:33.308,RX,-1.29
15:16:33.707,RX,Pressure values:
15:16:33.707,RX,-1.09
15:16:33.707,RX,Pressure values:
15:16:33.707,RX,-1.39
15:16:33.707,RX,Pressure values:
15:16:33.707,RX,-1.29
15:16:33.787,RX,Pressure values:
15:16:33.790,RX,-1.39
15:16:33.907,RX,Pressure values:
15:16:33.908,RX,-1.19
15:16:34.027,RX,Pressure values:
15:16:34.027,RX,-1.29
15:16:34.146,RX,Pressure values:
15:16:34.148,RX,-1.39
15:16:34.267,RX,Pressure values:
15:16:34.267,RX,-1.29
15:16:34.387,RX,Pressure values:
15:16:34.387,RX,-1.19
15:16:34.507,RX,Pressure values:
15:16:34.508,RX,-1.19
15:16:34.626,RX,Pressure values:
15:16:34.628,RX,-1.19
15:16:34.747,RX,Pressure values:
15:16:34.748,RX,-1.19
15:16:34.867,RX,Pressure values:
15:16:34.868,RX,-1.09
15:16:34.987,RX,Pressure values:
15:16:35.016,RX,-1.19
15:16:35.106,RX,Pressure values:
15:16:35.108,RX,-1.00
15:16:35.257,RX,Pressure values:
15:16:35.258,RX,-1.19
15:16:35.347,RX,Pressure values:
15:16:35.347,RX,-1.39
15:16:35.467,RX,Pressure values:
15:16:35.468,RX,-1.09
15:16:35.586,RX,Pressure values:
15:16:35.587,RX,-1.29
15:16:35.706,RX,Pressure values:
15:16:35.707,RX,-1.19
15:16:35.827,RX,Pressure values:
15:16:35.828,RX,-1.29
15:16:35.947,RX,Pressure values:
15:16:35.949,RX,-1.09
15:16:36.067,RX,Pressure values:
15:16:36.067,RX,-1.29
15:16:36.187,RX,Pressure values:
15:16:36.188,RX,-1.29
15:16:36.307,RX,Pressure values:
15:16:36.308,RX,-1.50
15:16:36.427,RX,Pressure values:
15:16:36.456,RX,-1.19
15:16:36.547,RX,Pressure values:
15:16:36.548,RX,-1.19
15:16:36.667,RX,Pressure values:
15:16:36.668,RX,-1.29
15:16:36.787,RX,Pressure values:
15:16:36.788,RX,-1.29
15:16:36.907,RX,Pressure values:
15:16:36.907,RX,-1.29
15:16:37.027,RX,Pressure values:
15:16:37.029,RX,-1.19
15:16:37.147,RX,Pressure values:
15:16:37.148,RX,-1.09
15:16:37.267,RX,Pressure values:
15:16:37.268,RX,-1.19
15:16:37.387,RX,Pressure values:
15:16:37.388,RX,-1.19
15:16:37.507,RX,Pressure values:
15:16:37.508,RX,-1.29
15:16:37.626,RX,Pressure values:
15:16:37.627,RX,-1.29
15:16:37.746,RX,Pressure values:
15:16:37.747,RX,-1.39
15:16:37.867,RX,Pressure values:
15:16:37.868,RX,-1.39
15:16:37.986,RX,Pressure values:
15:16:37.987,RX,-1.29
15:16:38.107,RX,Pressure values:
15:16:38.108,RX,-1.29
15:16:38.227,RX,Pressure values:
15:16:38.228,RX,-1.39
15:16:38.347,RX,Pressure values:
15:16:38.348,RX,-1.39
15:16:38.467,RX,Pressure values:
15:16:38.469,RX,-1.29
15:16:38.586,RX,Pressure values:
15:16:38.587,RX,-1.09
15:16:38.706,RX,Pressure values:
15:16:38.707,RX,-1.19
15:16:38.826,RX,Pressure values:
15:16:38.827,RX,-1.29
15:16:38.947,RX,Pressure values:
15:16:38.948,RX,-1.09
15:16:39.067,RX,Pressure values:
15:16:39.068,RX,-1.19
15:16:39.187,RX,Pressure values:
15:16:39.189,RX,-1.19
15:16:39.306,RX,Pressure values:
15:16:39.307,RX,-1.29
15:16:39.427,RX,Pressure values:
15:16:39.428,RX,-1.09
15:16:39.547,RX,Pressure values:
15:16:39.550,RX,-1.19
15:16:39.666,RX,Pressure values:
15:16:39.667,RX,-1.19
15:16:39.786,RX,Pressure values:
15:16:39.787,RX,-1.19
15:16:39.907,RX,Pressure values:
15:16:39.908,RX,-1.29
15:16:40.057,RX,Pressure values:
15:16:40.058,RX,-1.29
15:16:40.147,RX,Pressure values:
15:16:40.148,RX,-1.00
15:16:40.267,RX,Pressure values:
15:16:40.268,RX,-1.29
15:16:40.387,RX,Pressure values:
15:16:40.388,RX,-1.19
15:16:40.507,RX,Pressure values:
15:16:40.508,RX,-1.00
15:16:40.627,RX,Pressure values:
15:16:40.628,RX,-1.39
15:16:40.746,RX,Pressure values:
15:16:40.747,RX,-1.19
15:16:40.867,RX,Pressure values:
15:16:40.867,RX,-1.29
15:16:40.988,RX,Pressure values:
15:16:40.990,RX,-1.29
15:16:41.107,RX,Pressure values:
15:16:41.108,RX,-1.19
15:16:41.227,RX,Pressure values:
15:16:41.228,RX,-1.29
15:16:41.377,RX,Pressure values:
15:16:41.379,RX,-1.00
15:16:41.467,RX,Pressure values:
15:16:41.469,RX,-1.39
15:16:41.587,RX,Pressure values:
15:16:41.588,RX,-1.19
15:16:41.706,RX,Pressure values:
15:16:41.707,RX,-1.39
15:16:41.827,RX,Pressure values:
15:16:41.827,RX,-1.00
15:16:41.947,RX,Pressure values:
15:16:41.948,RX,-1.19
15:16:42.067,RX,Pressure values:
15:16:42.068,RX,-1.00
15:16:42.187,RX,Pressure values:
15:16:42.188,RX,-1.19
15:16:42.307,RX,Pressure values:
15:16:42.307,RX,-1.00
15:16:42.427,RX,Pressure values:
15:16:42.429,RX,-1.00
15:16:42.547,RX,Pressure values:
15:16:42.548,RX,-1.09
15:16:42.667,RX,Pressure values:
15:16:42.667,RX,-1.09
15:16:42.786,RX,Pressure values:
15:16:42.788,RX,-1.09
15:16:42.908,RX,Pressure values:
15:16:42.909,RX,-1.09
15:16:43.027,RX,Pressure values:
15:16:43.027,RX,-1.29
15:16:43.147,RX,Pressure values:
15:16:43.148,RX,-1.19
15:16:43.297,RX,Pressure values:
15:16:43.298,RX,-1.09
15:16:43.387,RX,Pressure values:
15:16:43.388,RX,-1.29
15:16:43.507,RX,Pressure values:
15:16:43.508,RX,-1.39
15:16:43.627,RX,Pressure values:
15:16:43.628,RX,-1.09
15:16:43.747,RX,Pressure values:
15:16:43.747,RX,-1.09
15:16:43.866,RX,Pressure values:
15:16:43.867,RX,-1.09
15:16:43.986,RX,Pressure values:
15:16:43.987,RX,-1.09
15:16:44.107,RX,Pressure values:
15:16:44.108,RX,-1.09
15:16:44.227,RX,Pressure values:
15:16:44.228,RX,-1.29
15:16:44.347,RX,Pressure values:
15:16:44.348,RX,-1.19
15:16:44.467,RX,Pressure values:
15:16:44.468,RX,-1.09
15:16:44.587,RX,Pressure values:
15:16:44.588,RX,-1.00
15:16:44.707,RX,Pressure values:
15:16:44.708,RX,-1.39
15:16:44.826,RX,Pressure values:
15:16:44.827,RX,-1.19
15:16:44.948,RX,Pressure values:
15:16:44.949,RX,-1.09
15:16:45.067,RX,Pressure values:
15:16:45.068,RX,-1.29
15:16:45.187,RX,Pressure values:
15:16:45.188,RX,-1.19
15:16:45.307,RX,Pressure values:
15:16:45.308,RX,-1.19
15:16:45.427,RX,Pressure values:
15:16:45.428,RX,-1.29
15:16:45.547,RX,Pressure values:
15:16:45.548,RX,-1.00
15:16:45.667,RX,Pressure values:
15:16:45.668,RX,-1.29
15:16:45.786,RX,Pressure values:
15:16:45.787,RX,-1.00
15:16:45.906,RX,Pressure values:
15:16:45.907,RX,-1.19
15:16:46.027,RX,Pressure values:
15:16:46.028,RX,-1.19
15:16:46.147,RX,Pressure values:
15:16:46.148,RX,-1.00
15:16:46.267,RX,Pressure values:
15:16:46.268,RX,-1.19
15:16:46.387,RX,Pressure values:
15:16:46.388,RX,-1.19
15:16:46.507,RX,Pressure values:
15:16:46.508,RX,-1.19
15:16:46.657,RX,Pressure values:
15:16:46.659,RX,-1.09
15:16:46.747,RX,Pressure values:
15:16:46.748,RX,-1.00
15:16:46.866,RX,Pressure values:
15:16:46.867,RX,-1.09
15:16:47.017,RX,Pressure values:
15:16:47.017,RX,-0.89
15:16:47.107,RX,Pressure values:
15:16:47.108,RX,-1.29
