Timestamp,Mode,Data

14:35:15.918,TX,"b"

14:35:25.897,RX,"Pressure values:"

14:35:25.898,RX,"-0.21"

14:35:26.013,RX,"Pressure values:"

14:35:26.013,RX,"-0.21"

14:35:26.132,RX,"Pressure values:"

14:35:26.133,RX,"-0.11"

14:35:26.252,RX,"Pressure values:"

14:35:26.253,RX,"-0.01"

14:35:26.372,RX,"Pressure values:"

14:35:26.372,RX,"0.08"

14:35:26.493,RX,"Pressure values:"

14:35:26.493,RX,"-0.01"

14:35:26.615,RX,"Pressure values:"

14:35:26.615,RX,"-0.11"

14:35:26.734,RX,"Pressure values:"

14:35:26.735,RX,"-0.01"

14:35:26.853,RX,"Pressure values:"

14:35:26.854,RX,"-0.31"

14:35:26.973,RX,"Pressure values:"

14:35:26.973,RX,"-0.11"

14:35:27.094,RX,"Pressure values:"

14:35:27.095,RX,"-0.11"

14:35:27.213,RX,"Pressure values:"

14:35:27.213,RX,"-0.31"

14:35:27.332,RX,"Pressure values:"

14:35:27.334,RX,"-0.11"

14:35:27.453,RX,"Pressure values:"

14:35:27.455,RX,"-0.01"

14:35:27.572,RX,"Pressure values:"

14:35:27.573,RX,"-0.21"

14:35:27.693,RX,"Pressure values:"

14:35:27.693,RX,"-0.01"

14:35:27.812,RX,"Pressure values:"

14:35:27.814,RX,"-0.31"

14:35:27.934,RX,"Pressure values:"

14:35:27.935,RX,"-0.01"

14:35:28.053,RX,"Pressure values:"

14:35:28.053,RX,"-0.11"

14:35:28.172,RX,"Pressure values:"

14:35:28.173,RX,"-0.11"

14:35:28.293,RX,"Pressure values:"

14:35:28.293,RX,"-0.11"

14:35:28.412,RX,"Pressure values:"

14:35:28.412,RX,"-0.41"

14:35:28.533,RX,"Pressure values:"

14:35:28.533,RX,"-0.31"

14:35:28.652,RX,"Pressure values:"

14:35:28.653,RX,"-0.11"

14:35:28.773,RX,"Pressure values:"

14:35:28.773,RX,"0.38"

14:35:28.893,RX,"Pressure values:"

14:35:28.893,RX,"0.68"

14:35:29.012,RX,"Pressure values:"

14:35:29.013,RX,"0.38"

14:35:29.133,RX,"Pressure values:"

14:35:29.133,RX,"0.48"

14:35:29.252,RX,"Pressure values:"

14:35:29.255,RX,"0.28"

14:35:29.372,RX,"Pressure values:"

14:35:29.372,RX,"0.08"

14:35:29.492,RX,"Pressure values:"

14:35:29.492,RX,"0.18"

14:35:29.612,RX,"Pressure values:"

14:35:29.612,RX,"0.08"

14:35:29.732,RX,"Pressure values:"

14:35:29.733,RX,"0.08"

14:35:29.853,RX,"Pressure values:"

14:35:29.853,RX,"-0.01"

14:35:29.943,RX,"Pressure values:"

14:35:29.972,RX,"-0.11"

14:35:30.093,RX,"Pressure values:"

14:35:30.095,RX,"-0.21"

14:35:30.213,RX,"Pressure values:"

14:35:30.213,RX,"-0.31"

14:35:30.333,RX,"Pressure values:"

14:35:30.333,RX,"-0.31"

14:35:30.452,RX,"Pressure values:"

14:35:30.453,RX,"-0.81"

14:35:30.573,RX,"Pressure values:"

14:35:30.573,RX,"-0.81"

14:35:30.692,RX,"Pressure values:"

14:35:30.694,RX,"-0.61"

14:35:30.813,RX,"Pressure values:"

14:35:30.814,RX,"-0.51"

14:35:30.933,RX,"Pressure values:"

14:35:30.934,RX,"-0.51"

14:35:31.053,RX,"Pressure values:"

14:35:31.053,RX,"-0.41"

14:35:31.173,RX,"Pressure values:"

14:35:31.174,RX,"-0.41"

14:35:31.294,RX,"Pressure values:"

14:35:31.294,RX,"-0.11"

14:35:31.413,RX,"Pressure values:"

14:35:31.413,RX,"-0.01"

14:35:31.533,RX,"Pressure values:"

14:35:31.534,RX,"-0.21"

14:35:31.652,RX,"Pressure values:"

14:35:31.653,RX,"-0.51"

14:35:31.773,RX,"Pressure values:"

14:35:31.773,RX,"-0.11"

14:35:31.894,RX,"Pressure values:"

14:35:31.895,RX,"-0.41"

14:35:31.983,RX,"Pressure values:"

14:35:32.012,RX,"-0.31"

14:35:32.135,RX,"Pressure values:"

14:35:32.135,RX,"4.48"

14:35:32.252,RX,"Pressure values:"

14:35:32.253,RX,"4.58"

14:35:32.373,RX,"Pressure values:"

14:35:32.373,RX,"4.38"

14:35:32.502,RX,"Pressure values:"

14:35:32.502,RX,"3.78"

14:35:32.614,RX,"Pressure values:"

14:35:32.615,RX,"1.58"

14:35:32.732,RX,"Pressure values:"

14:35:32.734,RX,"1.58"

14:35:32.852,RX,"Pressure values:"

14:35:32.852,RX,"-0.21"

14:35:32.973,RX,"Pressure values:"

14:35:32.978,RX,"5.18"

14:35:33.092,RX,"Pressure values:"

14:35:33.094,RX,"2.78"

14:35:33.213,RX,"Pressure values:"

14:35:33.214,RX,"4.28"

14:35:33.333,RX,"Pressure values:"

14:35:33.333,RX,"1.68"

14:35:33.452,RX,"Pressure values:"

14:35:33.454,RX,"-2.81"

14:35:33.573,RX,"Pressure values:"

14:35:33.573,RX,"-9.81"

14:35:33.693,RX,"Pressure values:"

14:35:33.695,RX,"-7.71"

14:35:33.813,RX,"Pressure values:"

14:35:33.813,RX,"-0.91"

14:35:33.903,RX,"Pressure values:"

14:35:33.933,RX,"-0.51"

14:35:34.023,RX,"Pressure values:"

14:35:34.052,RX,"-0.61"

14:35:34.173,RX,"Pressure values:"

14:35:34.173,RX,"-0.31"

14:35:34.293,RX,"Pressure values:"

14:35:34.300,RX,"-0.21"

14:35:34.413,RX,"Pressure values:"

14:35:34.415,RX,"-0.21"

14:35:34.533,RX,"Pressure values:"

14:35:34.533,RX,"1.08"

14:35:34.652,RX,"Pressure values:"

14:35:34.653,RX,"1.08"

14:35:34.774,RX,"Pressure values:"

14:35:34.775,RX,"0.78"

14:35:34.892,RX,"Pressure values:"

14:35:34.893,RX,"0.38"

14:35:35.013,RX,"Pressure values:"

14:35:35.014,RX,"0.28"

14:35:35.134,RX,"Pressure values:"

14:35:35.138,RX,"0.48"

14:35:35.252,RX,"Pressure values:"

14:35:35.253,RX,"-0.21"

14:35:35.373,RX,"Pressure values:"

14:35:35.373,RX,"-0.11"

14:35:35.493,RX,"Pressure values:"

14:35:35.494,RX,"0.18"

14:35:35.613,RX,"Pressure values:"

14:35:35.614,RX,"0.18"

14:35:35.732,RX,"Pressure values:"

14:35:35.734,RX,"0.08"

14:35:35.852,RX,"Pressure values:"

14:35:35.853,RX,"-0.21"

14:35:35.945,RX,"Pressure values:"

14:35:35.974,RX,"0.08"

14:35:36.063,RX,"Pressure values:"

14:35:36.092,RX,"-0.01"

14:35:36.213,RX,"Pressure values:"

14:35:36.215,RX,"-0.11"

14:35:36.335,RX,"Pressure values:"

14:35:36.335,RX,"-0.21"

14:35:36.452,RX,"Pressure values:"

14:35:36.454,RX,"-0.01"

14:35:36.575,RX,"Pressure values:"

14:35:36.575,RX,"0.78"

14:35:36.693,RX,"Pressure values:"

14:35:36.694,RX,"-0.41"

14:35:36.813,RX,"Pressure values:"

14:35:36.814,RX,"-0.11"

14:35:36.934,RX,"Pressure values:"

14:35:36.934,RX,"0.08"

14:35:37.023,RX,"Pressure values:"

14:35:37.051,RX,"-0.21"

14:35:37.144,RX,"Pressure values:"

14:35:37.174,RX,"-0.21"

14:35:37.293,RX,"Pressure values:"

14:35:37.295,RX,"-0.21"

14:35:37.413,RX,"Pressure values:"

14:35:37.414,RX,"-0.21"

14:35:37.535,RX,"Pressure values:"

14:35:37.535,RX,"-0.21"

14:35:37.652,RX,"Pressure values:"

14:35:37.654,RX,"0.08"

14:35:37.774,RX,"Pressure values:"

14:35:37.775,RX,"-0.11"

14:35:37.893,RX,"Pressure values:"

14:35:37.894,RX,"-0.01"

14:35:38.013,RX,"Pressure values:"

14:35:38.015,RX,"-0.01"

14:35:38.135,RX,"Pressure values:"

14:35:38.135,RX,"-0.21"

14:35:38.252,RX,"Pressure values:"

14:35:38.254,RX,"-0.01"

14:35:38.373,RX,"Pressure values:"

14:35:38.375,RX,"-0.21"

14:35:38.493,RX,"Pressure values:"

14:35:38.494,RX,"-0.21"

14:35:38.613,RX,"Pressure values:"

14:35:38.614,RX,"-0.11"

14:35:38.733,RX,"Pressure values:"

14:35:38.733,RX,"-0.11"

14:35:38.852,RX,"Pressure values:"

14:35:38.854,RX,"-0.11"

14:35:38.943,RX,"Pressure values:"

14:35:38.944,RX,"0.18"

14:35:39.093,RX,"Pressure values:"

14:35:39.095,RX,"-0.11"

14:35:39.214,RX,"Pressure values:"

14:35:39.214,RX,"-0.11"

14:35:39.333,RX,"Pressure values:"

14:35:39.333,RX,"0.08"

14:35:39.453,RX,"Pressure values:"

14:35:39.455,RX,"-0.01"

14:35:39.573,RX,"Pressure values:"

14:35:39.574,RX,"-0.01"

14:35:39.693,RX,"Pressure values:"

14:35:39.693,RX,"0.58"

14:35:39.813,RX,"Pressure values:"

14:35:39.815,RX,"-0.61"

14:35:39.933,RX,"Pressure values:"

14:35:39.934,RX,"-1.61"

14:35:40.053,RX,"Pressure values:"

14:35:40.053,RX,"-5.41"

14:35:40.173,RX,"Pressure values:"

14:35:40.175,RX,"-2.81"

14:35:40.293,RX,"Pressure values:"

14:35:40.293,RX,"1.48"

14:35:40.413,RX,"Pressure values:"

14:35:40.414,RX,"2.98"

14:35:40.533,RX,"Pressure values:"

14:35:40.533,RX,"-0.21"

14:35:40.653,RX,"Pressure values:"

14:35:40.653,RX,"1.28"

14:35:40.773,RX,"Pressure values:"

14:35:40.773,RX,"3.18"

14:35:40.892,RX,"Pressure values:"

14:35:40.893,RX,"2.38"

14:35:41.013,RX,"Pressure values:"

14:35:41.014,RX,"1.48"

14:35:41.133,RX,"Pressure values:"

14:35:41.134,RX,"0.88"

14:35:41.253,RX,"Pressure values:"

14:35:41.255,RX,"0.48"

14:35:41.373,RX,"Pressure values:"

14:35:41.374,RX,"-0.71"

14:35:41.494,RX,"Pressure values:"

14:35:41.495,RX,"-5.21"

14:35:41.613,RX,"Pressure values:"

14:35:41.615,RX,"-8.31"

14:35:41.733,RX,"Pressure values:"

14:35:41.734,RX,"-9.51"

14:35:41.853,RX,"Pressure values:"

14:35:41.854,RX,"-6.71"

14:35:41.973,RX,"Pressure values:"

14:35:41.975,RX,"-1.11"

14:35:42.093,RX,"Pressure values:"

14:35:42.094,RX,"1.28"

14:35:42.213,RX,"Pressure values:"

14:35:42.214,RX,"19.58"

14:35:42.334,RX,"Pressure values:"

14:35:42.334,RX,"15.88"

14:35:42.454,RX,"Pressure values:"

14:35:42.454,RX,"11.08"

14:35:42.574,RX,"Pressure values:"

14:35:42.574,RX,"5.68"

14:35:42.693,RX,"Pressure values:"

14:35:42.694,RX,"1.48"

14:35:42.813,RX,"Pressure values:"

14:35:42.814,RX,"1.08"

14:35:42.933,RX,"Pressure values:"

14:35:42.934,RX,"0.68"

14:35:43.053,RX,"Pressure values:"

14:35:43.055,RX,"0.08"

14:35:43.173,RX,"Pressure values:"

14:35:43.174,RX,"-0.01"

14:35:43.293,RX,"Pressure values:"

14:35:43.294,RX,"-0.01"

14:35:43.413,RX,"Pressure values:"

14:35:43.414,RX,"-0.31"

14:35:43.535,RX,"Pressure values:"

14:35:43.535,RX,"-6.21"

14:35:43.653,RX,"Pressure values:"

14:35:43.654,RX,"-9.11"

14:35:43.773,RX,"Pressure values:"

14:35:43.775,RX,"-20.71"

14:35:43.893,RX,"Pressure values:"

14:35:43.894,RX,"-43.71"

14:35:44.013,RX,"Pressure values:"

14:35:44.014,RX,"-56.51"

14:35:44.134,RX,"Pressure values:"

14:35:44.134,RX,"-65.41"

14:35:44.253,RX,"Pressure values:"

14:35:44.253,RX,"-68.91"

14:35:44.373,RX,"Pressure values:"

14:35:44.374,RX,"-68.61"

14:35:44.493,RX,"Pressure values:"

14:35:44.494,RX,"-59.01"

14:35:44.613,RX,"Pressure values:"

14:35:44.614,RX,"-49.21"

14:35:44.735,RX,"Pressure values:"

14:35:44.735,RX,"-45.81"

14:35:44.853,RX,"Pressure values:"

14:35:44.855,RX,"-34.91"

14:35:44.972,RX,"Pressure values:"

14:35:44.973,RX,"-23.51"

14:35:45.095,RX,"Pressure values:"

14:35:45.095,RX,"-6.01"

14:35:45.213,RX,"Pressure values:"

14:35:45.215,RX,"3.28"

14:35:45.336,RX,"Pressure values:"

14:35:45.336,RX,"7.18"

14:35:45.453,RX,"Pressure values:"

14:35:45.454,RX,"10.08"

14:35:45.573,RX,"Pressure values:"

14:35:45.575,RX,"11.08"

14:35:45.694,RX,"Pressure values:"

14:35:45.694,RX,"14.48"

14:35:45.813,RX,"Pressure values:"

14:35:45.814,RX,"18.18"

14:35:45.934,RX,"Pressure values:"

14:35:45.934,RX,"17.38"

14:35:46.053,RX,"Pressure values:"

14:35:46.053,RX,"16.48"

14:35:46.173,RX,"Pressure values:"

14:35:46.174,RX,"12.48"

14:35:46.293,RX,"Pressure values:"

14:35:46.295,RX,"13.58"

14:35:46.413,RX,"Pressure values:"

14:35:46.414,RX,"18.98"

14:35:46.534,RX,"Pressure values:"

14:35:46.534,RX,"20.38"

14:35:46.653,RX,"Pressure values:"

14:35:46.654,RX,"18.78"

14:35:46.772,RX,"Pressure values:"

14:35:46.773,RX,"16.48"

14:35:46.922,RX,"Pressure values:"

14:35:46.923,RX,"13.08"

14:35:47.013,RX,"Pressure values:"

14:35:47.015,RX,"12.08"

14:35:47.133,RX,"Pressure values:"

14:35:47.134,RX,"10.18"

14:35:47.253,RX,"Pressure values:"

14:35:47.253,RX,"7.48"

14:35:47.372,RX,"Pressure values:"

14:35:47.373,RX,"5.68"

14:35:47.493,RX,"Pressure values:"

14:35:47.494,RX,"4.08"

14:35:47.613,RX,"Pressure values:"

14:35:47.613,RX,"1.48"

14:35:47.733,RX,"Pressure values:"

14:35:47.734,RX,"0.18"

14:35:47.854,RX,"Pressure values:"

14:35:47.854,RX,"-1.21"

14:35:47.973,RX,"Pressure values:"

14:35:47.974,RX,"-3.91"

14:35:48.093,RX,"Pressure values:"

14:35:48.094,RX,"-4.31"

14:35:48.213,RX,"Pressure values:"

14:35:48.213,RX,"-3.61"

14:35:48.333,RX,"Pressure values:"

14:35:48.334,RX,"-4.01"

14:35:48.453,RX,"Pressure values:"

14:35:48.455,RX,"-2.31"

14:35:48.573,RX,"Pressure values:"

14:35:48.574,RX,"-0.81"

14:35:48.693,RX,"Pressure values:"

14:35:48.693,RX,"2.78"

14:35:48.813,RX,"Pressure values:"

14:35:48.815,RX,"5.38"

14:35:48.933,RX,"Pressure values:"

14:35:48.933,RX,"4.28"

14:35:49.053,RX,"Pressure values:"

14:35:49.053,RX,"3.88"

14:35:49.173,RX,"Pressure values:"

14:35:49.175,RX,"3.18"

14:35:49.293,RX,"Pressure values:"

14:35:49.294,RX,"2.38"

14:35:49.413,RX,"Pressure values:"

14:35:49.413,RX,"1.28"

14:35:49.534,RX,"Pressure values:"

14:35:49.535,RX,"2.68"

14:35:49.653,RX,"Pressure values:"

14:35:49.654,RX,"-0.31"

14:35:49.773,RX,"Pressure values:"

14:35:49.774,RX,"2.18"

14:35:49.893,RX,"Pressure values:"

14:35:49.894,RX,"6.28"

14:35:50.013,RX,"Pressure values:"

14:35:50.013,RX,"3.18"

14:35:50.134,RX,"Pressure values:"

14:35:50.134,RX,"0.78"

14:35:50.253,RX,"Pressure values:"

14:35:50.255,RX,"0.28"

14:35:50.373,RX,"Pressure values:"

14:35:50.374,RX,"0.28"

14:35:50.493,RX,"Pressure values:"

14:35:50.494,RX,"0.48"

14:35:50.613,RX,"Pressure values:"

14:35:50.614,RX,"-1.21"

14:35:50.734,RX,"Pressure values:"

14:35:50.734,RX,"0.48"

14:35:50.853,RX,"Pressure values:"

14:35:50.854,RX,"0.98"

14:35:50.973,RX,"Pressure values:"

14:35:50.975,RX,"-1.61"

14:35:51.093,RX,"Pressure values:"

14:35:51.094,RX,"0.98"

14:35:51.213,RX,"Pressure values:"

14:35:51.214,RX,"-1.01"

14:35:51.334,RX,"Pressure values:"

14:35:51.335,RX,"2.58"

14:35:51.453,RX,"Pressure values:"

14:35:51.454,RX,"1.68"

14:35:51.573,RX,"Pressure values:"

14:35:51.574,RX,"11.68"

