Timestamp,Mode,Data
10:41:05.712,TX,"b"
10:41:15.691,RX,"Pressure values:"
10:41:15.691,RX,"-0.10"
10:41:15.810,RX,"Pressure values:"
10:41:15.812,RX,"0.09"
10:41:15.930,RX,"Pressure values:"
10:41:15.931,RX,"0.09"
10:41:16.050,RX,"Pressure values:"
10:41:16.051,RX,"0.09"
10:41:16.170,RX,"Pressure values:"
10:41:16.171,RX,"0.00"
10:41:16.290,RX,"Pressure values:"
10:41:16.291,RX,"0.19"
10:41:16.410,RX,"Pressure values:"
10:41:16.412,RX,"-0.20"
10:41:16.530,RX,"Pressure values:"
10:41:16.531,RX,"0.09"
10:41:16.649,RX,"Pressure values:"
10:41:16.650,RX,"0.00"
10:41:16.770,RX,"Pressure values:"
10:41:16.771,RX,"0.00"
10:41:16.890,RX,"Pressure values:"
10:41:16.891,RX,"0.19"
10:41:17.011,RX,"Pressure values:"
10:41:17.012,RX,"0.00"
10:41:17.130,RX,"Pressure values:"
10:41:17.131,RX,"0.00"
10:41:17.250,RX,"Pressure values:"
10:41:17.251,RX,"1.09"
10:41:17.371,RX,"Pressure values:"
10:41:17.371,RX,"1.29"
10:41:17.490,RX,"Pressure values:"
10:41:17.492,RX,"0.69"
10:41:17.610,RX,"Pressure values:"
10:41:17.611,RX,"0.49"
10:41:17.730,RX,"Pressure values:"
10:41:17.731,RX,"0.19"
10:41:17.850,RX,"Pressure values:"
10:41:17.852,RX,"0.39"
10:41:17.972,RX,"Pressure values:"
10:41:17.972,RX,"0.39"
10:41:18.089,RX,"Pressure values:"
10:41:18.090,RX,"0.49"
10:41:18.211,RX,"Pressure values:"
10:41:18.211,RX,"0.29"
10:41:18.329,RX,"Pressure values:"
10:41:18.330,RX,"0.00"
10:41:18.450,RX,"Pressure values:"
10:41:18.451,RX,"-0.50"
10:41:18.570,RX,"Pressure values:"
10:41:18.571,RX,"-1.40"
10:41:18.689,RX,"Pressure values:"
10:41:18.690,RX,"-0.90"
10:41:18.810,RX,"Pressure values:"
10:41:18.811,RX,"-1.00"
10:41:18.931,RX,"Pressure values:"
10:41:18.931,RX,"-0.70"
10:41:19.050,RX,"Pressure values:"
10:41:19.051,RX,"-0.80"
10:41:19.170,RX,"Pressure values:"
