Timestamp,Mode,Data

18:16:41.366,RX,"Differential Pressure values:"

18:16:41.366,RX,"-0.01"

18:16:41.369,RX,"Pressure values:"

18:16:41.369,RX,"9966.90"

18:16:41.516,RX,"Differential Pressure values:"

18:16:41.517,RX,"0.28"

18:16:41.517,RX,"Pressure values:"

18:16:41.517,RX,"9967.20"

18:16:41.665,RX,"Differential Pressure values:"

18:16:41.667,RX,"0.18"

18:16:41.667,RX,"Pressure values:"

18:16:41.667,RX,"9967.10"

18:16:41.816,RX,"Differential Pressure values:"

18:16:41.820,RX,"0.08"

18:16:41.820,RX,"Pressure values:"

18:16:41.820,RX,"9967.00"

18:16:41.965,RX,"Differential Pressure values:"

18:16:41.967,RX,"0.18"

18:16:41.968,RX,"Pressure values:"

18:16:41.968,RX,"9967.10"

18:16:42.085,RX,"Differential Pressure values:"

18:16:42.116,RX,"0.18"

18:16:42.116,RX,"Pressure values:"

18:16:42.117,RX,"9967.10"

18:16:42.235,RX,"Differential Pressure values:"

18:16:42.236,RX,"0.38"

18:16:42.239,RX,"Pressure values:"

18:16:42.239,RX,"9967.30"

18:16:42.385,RX,"Differential Pressure values:"

18:16:42.386,RX,"0.18"

18:16:42.386,RX,"Pressure values:"

18:16:42.387,RX,"9967.10"

18:16:42.505,RX,"Differential Pressure values:"

18:16:42.535,RX,"0.18"

18:16:42.535,RX,"Pressure values:"

18:16:42.536,RX,"9967.10"

18:16:42.686,RX,"Differential Pressure values:"

18:16:42.687,RX,"0.38"

18:16:42.689,RX,"Pressure values:"

18:16:42.690,RX,"9967.30"

18:16:42.836,RX,"Differential Pressure values:"

18:16:42.837,RX,"6.18"

18:16:42.837,RX,"Pressure values:"

18:16:42.837,RX,"9973.10"

18:16:42.985,RX,"Differential Pressure values:"

18:16:43.015,RX,"17.68"

18:16:43.045,RX,"Pressure values:"

18:16:43.046,RX,"9984.60"

18:16:43.166,RX,"Differential Pressure values:"

18:16:43.166,RX,"7.38"

18:16:43.169,RX,"Pressure values:"

18:16:43.169,RX,"9974.30"

