Timestamp,Mode,Data

11:01:36.587,RX,"Differential Pressure values:" 

11:01:36.587,RX,"-0.21" 

11:01:36.587,RX,"Pressure values:" 

11:01:36.588,RX,"10018.00" 

11:01:36.733,RX,"Differential Pressure values:" 

11:01:36.734,RX,"-0.31" 

11:01:36.734,RX,"Pressure values:" 

11:01:36.735,RX,"10017.90" 

11:01:36.884,RX,"Differential Pressure values:" 

11:01:36.885,RX,"-0.21" 

11:01:36.885,RX,"Pressure values:" 

11:01:36.915,RX,"10018.00" 

11:01:37.034,RX,"Differential Pressure values:" 

11:01:37.035,RX,"-0.01" 

11:01:37.035,RX,"Pressure values:" 

11:01:37.037,RX,"10018.20" 

11:01:37.183,RX,"Differential Pressure values:" 

11:01:37.185,RX,"0.08" 

11:01:37.185,RX,"Pressure values:" 

11:01:37.186,RX,"10018.30" 

11:01:37.334,RX,"Differential Pressure values:" 

11:01:37.335,RX,"-0.11" 

11:01:37.335,RX,"Pressure values:" 

11:01:37.335,RX,"10018.10" 

11:01:37.485,RX,"Differential Pressure values:" 

11:01:37.485,RX,"-0.01" 

11:01:37.486,RX,"Pressure values:" 

11:01:37.488,RX,"10018.20" 

11:01:37.634,RX,"Differential Pressure values:" 

11:01:37.635,RX,"-0.01" 

11:01:37.636,RX,"Pressure values:" 

11:01:37.636,RX,"10018.20" 

11:01:37.783,RX,"Differential Pressure values:" 

11:01:37.785,RX,"0.08" 

11:01:37.785,RX,"Pressure values:" 

11:01:37.785,RX,"10018.30" 

11:01:37.904,RX,"Differential Pressure values:" 

11:01:37.934,RX,"1.78" 

11:01:37.934,RX,"Pressure values:" 

11:01:37.935,RX,"10020.00" 

11:01:38.084,RX,"Differential Pressure values:" 

11:01:38.086,RX,"-8.01" 

11:01:38.086,RX,"Pressure values:" 

11:01:38.086,RX,"10010.20" 

11:01:38.233,RX,"Differential Pressure values:" 

11:01:38.234,RX,"2.68" 

11:01:38.234,RX,"Pressure values:" 

11:01:38.235,RX,"10020.90" 

11:01:38.384,RX,"Differential Pressure values:" 

11:01:38.385,RX,"2.58" 

11:01:38.385,RX,"Pressure values:" 

11:01:38.389,RX,"10020.80" 

11:01:38.534,RX,"Differential Pressure values:" 

11:01:38.535,RX,"2.78" 

11:01:38.536,RX,"Pressure values:" 

11:01:38.536,RX,"10021.00" 

11:01:38.654,RX,"Differential Pressure values:" 

11:01:38.683,RX,"3.98" 

11:01:38.684,RX,"Pressure values:" 

11:01:38.686,RX,"10022.20" 

11:01:38.803,RX,"Differential Pressure values:" 

11:01:38.804,RX,"4.08" 

11:01:38.804,RX,"Pressure values:" 

11:01:38.805,RX,"10022.30" 

11:01:38.954,RX,"Differential Pressure values:" 

11:01:38.955,RX,"2.58" 

11:01:38.955,RX,"Pressure values:" 

11:01:38.956,RX,"10020.80" 

11:01:39.104,RX,"Differential Pressure values:" 

11:01:39.105,RX,"0.98" 

11:01:39.105,RX,"Pressure values:" 

11:01:39.105,RX,"10019.20" 

11:01:39.253,RX,"Differential Pressure values:" 

11:01:39.254,RX,"1.58" 

11:01:39.254,RX,"Pressure values:" 

11:01:39.255,RX,"10019.80" 

11:01:39.403,RX,"Differential Pressure values:" 

11:01:39.405,RX,"-0.61" 

11:01:39.405,RX,"Pressure values:" 

11:01:39.405,RX,"10017.60" 

11:01:39.524,RX,"Differential Pressure values:" 

11:01:39.554,RX,"-8.51" 

11:01:39.554,RX,"Pressure values:" 

11:01:39.554,RX,"10009.70" 

11:01:39.703,RX,"Differential Pressure values:" 

11:01:39.704,RX,"-12.61" 

11:01:39.704,RX,"Pressure values:" 

11:01:39.705,RX,"10005.60" 

