Pressure_Rel,GyroX_Rel,GyroY_Rel,GyroZ_Rel,AccX_Rel,AccY_Rel,AccZ_Rel,Timestamp,Pressure_abs,HeartRate,Oxygen,Status,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527,9882.30,0,0,165,1.05,-0.91,0.77,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1542,9882.30,0,0,0,1.19,-0.84,0.63,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558,9882.30,0,0,165,1.47,-0.70,0.77,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565,9881.70,0,0,0,1.26,-0.42,0.84,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580,9881.40,0,0,165,1.05,-0.35,0.84,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595,9881.70,0,0,0,0.98,-0.35,0.63,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603,9882.30,0,0,165,1.12,-0.56,0.35,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618,9882.30,0,0,0,1.26,-0.77,0.00,0.16,1.00,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633,9882.30,0,0,165,1.33,-0.98,-0.56,0.16,0.99,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640,9881.40,0,0,0,1.40,-1.05,-0.77,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655,9882.70,0,0,165,1.47,-1.12,-0.84,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670,9882.70,0,0,0,1.61,-0.91,-0.98,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678,9881.70,0,0,165,1.40,-0.98,-0.91,0.16,0.99,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1692,9882.30,0,0,0,1.40,-1.05,-0.84,0.16,1.00,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1708,9882.70,0,0,165,1.47,-1.33,-1.05,0.16,1.00,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715,9882.30,0,0,0,1.82,-1.75,-1.19,0.16,1.00,-0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730,9881.70,0,0,165,2.03,-2.17,-1.26,0.15,0.99,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745,9883.60,0,0,0,1.82,-2.45,-1.54,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752,9881.40,0,0,165,1.40,-2.45,-1.40,0.15,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767,9882.70,0,0,0,0.91,-2.31,-0.98,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783,9881.70,0,0,165,0.70,-2.31,-0.63,0.15,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790,9881.70,0,0,0,0.42,-2.03,-0.35,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805,9882.70,0,0,165,0.49,-1.82,0.07,0.15,1.00,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1819,9881.70,0,0,0,0.42,-2.10,0.07,0.15,1.00,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827,9881.70,0,0,165,0.42,-2.24,-0.07,0.15,0.99,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842,9881.70,0,0,0,0.42,-2.31,0.42,0.15,0.99,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857,9883.00,0,0,165,0.28,-2.52,0.49,0.15,0.99,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865,9882.00,0,0,0,-0.07,-2.80,0.56,0.15,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879,9881.70,0,0,165,-0.35,-2.87,0.77,0.15,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894,9883.00,0,0,0,-0.56,-2.87,0.63,0.15,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1903,9882.00,0,0,165,-0.42,-2.80,0.91,0.15,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1917,9880.70,0,0,0,-0.28,-2.66,0.91,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932,9882.00,0,0,165,0.00,-2.80,0.77,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940,9881.70,0,0,0,0.21,-2.94,0.42,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955,9882.70,0,0,165,0.14,-3.08,0.14,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970,9883.00,0,0,0,-0.14,-3.36,0.00,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977,9882.00,0,0,165,0.07,-3.57,0.07,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992,9882.00,0,0,0,0.21,-3.50,0.14,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,9883.30,0,0,165,0.49,-3.08,0.42,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,9882.00,0,0,0,0.91,-2.66,0.35,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030,9883.00,0,0,165,0.98,-2.38,0.42,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045,9882.00,0,0,0,1.33,-2.17,0.35,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2052,9882.00,0,0,165,1.40,-2.03,0.42,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2067,9883.00,0,0,0,1.40,-2.10,0.35,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082,9881.00,0,0,165,1.05,-2.24,0.77,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090,9881.40,0,0,0,0.84,-2.45,0.77,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105,9882.00,0,0,165,0.70,-2.45,0.98,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120,9882.30,0,0,0,0.56,-2.66,0.91,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128,9882.30,0,0,165,0.70,-2.66,0.70,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2143,9882.00,0,0,0,0.63,-2.59,0.56,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158,9881.40,0,0,165,0.70,-2.59,0.49,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165,9882.30,0,0,0,0.70,-2.66,0.77,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2181,9882.30,0,0,165,0.63,-2.94,0.77,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195,9882.70,0,0,0,0.63,-3.22,0.77,0.16,1.00,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202,9882.30,0,0,165,0.49,-3.57,0.56,0.16,0.99,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2218,9881.40,0,0,0,0.28,-3.99,0.21,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2233,9882.70,0,0,165,0.21,-4.55,0.00,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2240,9882.30,0,0,0,0.14,-4.90,-0.42,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256,9882.30,0,0,165,0.00,-5.04,-0.49,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2270,9883.30,0,0,0,-0.07,-4.97,-0.28,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2277,9881.40,0,0,165,0.21,-4.62,-0.14,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2293,9881.00,0,0,0,0.42,-4.34,0.14,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308,9881.70,0,0,165,0.63,-4.13,0.35,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315,9882.70,0,0,0,0.63,-3.99,0.70,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2330,9882.30,0,0,165,0.56,-4.13,1.05,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2345,9882.70,0,0,0,0.14,-4.48,1.26,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2353,9882.70,0,0,165,0.00,-4.69,1.26,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2368,9882.30,0,0,0,-0.07,-5.11,1.47,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381,9882.30,0,0,165,-0.14,-5.25,1.12,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2389,9881.70,0,0,0,0.35,-5.18,1.05,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2404,9882.70,0,0,165,0.70,-4.97,0.91,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420,9882.70,0,0,0,0.84,-4.76,0.84,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2428,9882.30,0,0,165,1.05,-4.55,0.70,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442,9882.30,0,0,0,1.19,-4.34,0.35,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2458,9883.60,0,0,165,1.33,-4.13,0.14,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2464,9882.70,0,0,0,1.19,-4.13,-0.21,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480,9882.70,0,0,165,1.33,-3.85,-0.14,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495,9881.70,0,0,0,1.19,-3.64,0.00,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2503,9882.70,0,0,165,1.33,-3.29,0.21,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2517,9881.70,0,0,0,1.26,-2.87,0.42,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532,9881.70,0,0,165,1.12,-2.59,0.49,0.15,0.88,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540,9882.70,0,0,0,1.12,-2.52,0.14,0.16,1.00,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554,9881.70,0,0,165,1.19,-2.52,-0.28,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2569,9882.70,0,0,0,1.19,-2.52,-0.49,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2577,9881.70,0,0,165,1.05,-2.59,-0.56,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2592,9881.70,0,0,0,1.12,-2.59,-0.49,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2607,9882.70,0,0,165,0.98,-2.52,-0.35,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2615,9881.70,0,0,0,0.63,-2.52,-0.21,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2630,9882.00,0,0,165,0.63,-2.52,0.07,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2645,9882.70,0,0,0,0.56,-2.59,0.00,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2652,9882.70,0,0,165,0.84,-2.52,-0.28,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667,9881.70,0,0,0,0.98,-2.45,-0.35,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2675,9881.70,0,0,165,1.19,-2.31,-0.49,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690,9881.70,0,0,0,1.33,-1.96,-0.49,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2705,9882.00,0,0,165,1.26,-1.61,-0.21,0.15,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2713,9881.70,0,0,0,1.05,-1.40,-0.35,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728,9882.00,0,0,165,0.91,-1.05,-0.28,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2742,9882.00,0,0,0,0.84,-1.26,-0.42,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750,9882.70,0,0,165,0.98,-1.33,-0.42,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2765,9882.00,0,0,0,0.91,-1.47,-0.63,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2779,9882.00,0,0,165,0.91,-1.61,-0.56,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2787,9883.00,0,0,0,0.84,-1.61,-0.49,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2803,9882.00,0,0,165,0.70,-1.89,-0.42,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817,9882.70,0,0,0,0.84,-1.96,-0.21,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2824,9881.10,0,0,165,0.84,-1.96,-0.07,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839,9882.00,0,0,0,0.84,-2.03,0.07,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2854,9882.00,0,0,165,0.91,-1.96,0.07,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862,9882.30,0,0,0,1.12,-1.82,-0.21,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877,9882.00,0,0,165,1.19,-1.68,-0.21,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2892,9882.00,0,0,0,1.33,-1.82,-0.35,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2907,9882.30,0,0,165,1.26,-1.82,-0.42,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2915,9882.00,0,0,0,0.98,-2.10,-0.42,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2930,9882.00,0,0,165,0.35,-2.24,-0.63,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937,9882.00,0,0,0,-0.07,-2.52,-0.56,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952,9882.30,0,0,165,-0.07,-2.59,-0.42,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2967,9882.30,0,0,0,0.21,-2.52,-0.35,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2975,9881.40,0,0,165,0.42,-2.38,-0.14,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990,9881.40,0,0,0,0.63,-2.10,0.28,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3005,9882.30,0,0,165,0.77,-1.89,0.49,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3012,9882.00,0,0,0,0.49,-1.75,0.91,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028,9881.10,0,0,165,0.42,-1.75,1.12,0.16,0.99,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3043,9882.30,0,0,0,0.28,-1.96,1.12,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050,9882.30,0,0,165,0.35,-1.96,1.19,0.15,1.00,-0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3065,9882.30,0,0,0,0.35,-2.24,0.77,0.15,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080,9882.30,0,0,165,0.49,-2.38,0.56,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088,9882.00,0,0,0,0.28,-2.52,0.35,0.16,1.00,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110,9882.30,0,0,165,0.42,-2.59,0.07,0.15,1.00,-0.02
